,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
0,Pittsburgh Penguins,6,Tampa Bay Lightning,2,8,0.3548387096774194,0.9069767441860463,0.0,0.6666666666666666,0.21875,0.6666666666666665,0.7164179104477612,0.7163814180929097,0.48091603053435095,0.18803418803418803,0.4000000000000001,0.9999999999999999,0.7478260869565218,0.2857142857142857,0.48124999999999973,0.18881118881118875,0.564102564102564,0.5974025974025974,0.5169836956521741,0.0,0.052631578947368585,0.7468443197755956,0.09090909090909088,0.5,0.033898305084745894,0.2708333333333335,0.7736450584484591,0.28571428571428603,0.4433333333333338,0.8717948717948723,0.6000000000000001,0.40416934315292585,0.7225029148853475,0.6784360430494831,0.6574770406809054,0.7112194207517106,0.7136952498457743,0.6330869424808927,0.05791792739244617,0.6649658587829216,0.6713769621790979,0.642670320089675,0.13012575177692728,0.6743354098562881,0.7789312338883854,0.6234282343444378,0.10213069872634212,0.7511744318425644,0.26509147286821744,0.6992458525884202,0.6379936125892445,0.61731683188865,0.583809330224849,0.5848944820118902,0.3526619844430785,0.5020207224225772,0.7400238948626043,0.5392966904359473,0.5797227620158054,0.672081906853562,0.6645941359804937,0.7835221082643763,0.6137134179702763,0.6852307886594686,0.7623767598337841,0.7861343106079279,0.8306427424619351,0.8617753467548699,1.0,0.5140686391814286,0.48581960529417056,0.719419289923818,0.3348988410450563,0.6613102923568659,0.5817004164148027,0.6594156223078063,0.1935483870967742,0.8837209302325588,0.0,0.8055555555555555,0.15625,0.33333333333333326,0.8208955223880597,0.821515892420538,0.6030534351145038,0.23931623931623935,0.2,0.6666666666666666,0.8130434782608696,0.42857142857142855,0.6062500000000002,0.23776223776223748,0.8717948717948717,0.7402597402597402,0.7737771739130437,0.47058823529411764,0.5789473684210527,0.4754558204768582,0.45454545454545453,0.24999999999999997,0.728813559322034,0.8958333333333335,0.4399574920297553,0.714285714285714,0.21833333333333327,0.6923076923076898,0.20000000000000004,0.2668135621915815,0.6995983935742975,0.7742758517184449,0.8217224355458037,0.8362358234136282,0.8573288093769278,0.7192930416512173,0.7256501244637468,0.7807308471523976,0.7326065411298317,0.9755469755469758,0.5460855528652139,0.8563841087741659,0.7948164146868251,0.9749759384023101,0.26383763837638374,0.597073323421238,0.4430015503875968,0.7886216869016023,0.6028764436696443,0.7477160626206306,0.6364380043708595,0.7691084371261705,0.9370990484082213,0.2839398623015317,0.8310850439882698,0.8694261278318209,0.6748573649436456,0.9434710290032942,0.5807917224978043,0.6821945120914192,0.6981127524871868,1.0,0.6618350116976917,0.7001386827289587,0.7569181466921369,0.6055807075595698,0.6131336744535822,0.2552311451548106,0.744713369082596,0.573797483241209,0.11656243260728927,0.6782442678023975,0.7283082309087245,0.3223738724937437
1,Seattle Kraken,3,Vegas Golden Knights,4,7,0.935483870967742,0.6744186046511622,0.0,0.13888888888888895,0.96875,0.11111111111111105,0.07462686567164178,0.07579462102689483,0.05343511450381677,0.7179487179487181,0.4000000000000001,0.0,0.1869565217391304,0.8571428571428571,0.056250000000000355,0.7132867132867133,0.10256410256410253,0.23376623376623362,0.13586956521739135,0.676470588235294,0.19736842105263186,0.07784011220196341,0.5454545454545454,0.41666666666666663,0.30508474576271194,0.1875,0.275239107332625,0.16666666666666696,0.0950000000000002,0.0,0.20000000000000004,0.1742167409680595,0.5611015490533564,0.3354344889689327,0.13998902907295663,0.18869890068690331,0.1764871772274612,0.11060437523173894,0.16043339108854693,0.1528626097396263,0.137561942517344,0.13017098731384447,0.5315807679003804,0.15578621505963758,0.2038876889848813,0.14739447270727346,0.473168160253031,0.253619219031223,0.237515731874145,0.3403456667904132,0.22021811993483364,0.30522961919058844,0.1728418727883001,0.3825205826472451,0.39509268664296604,0.5480680061823802,0.48878648233487,0.6440431888626703,0.4823678862917107,0.6088684747201634,0.6039878961052798,0.7927994268200453,0.44665374621358933,0.6463345330555028,0.5736954531583778,0.6538956394951159,0.47723646702104316,0.5032790171539823,0.287384077889385,0.49278474092906066,0.5071081305419027,0.6929711082363087,0.30256631442743165,0.4528237230676971,0.4220931320341961,0.3358057536856043,0.5161290322580645,0.6279069767441863,0.0,0.5833333333333334,0.40625,0.33333333333333326,0.582089552238806,0.5819070904645477,0.4274809160305344,0.37606837606837606,0.6000000000000001,0.5,0.6260869565217392,0.5,0.43125000000000013,0.3776223776223775,0.28205128205128205,0.1298701298701297,0.3974184782608694,0.4117647058823529,0.0,0.25385694249649404,0.7272727272727273,0.41666666666666663,0.15254237288135597,0.125,0.7534537725823589,0.2619047619047623,0.2466666666666666,0.5384615384615365,0.20000000000000004,0.44049195892236814,0.3741633199464518,0.25984291360248113,0.3780093862375815,0.3477051894897991,0.37004935225169655,0.5668232192147653,0.004501880197023356,0.44319385041227954,0.39428477039973586,0.25418275418275416,0.6814635458703255,0.4497556830252814,0.3798896088312933,0.24302213666987493,0.6494464944649446,0.47391553851370727,0.43494391244870045,0.2776532668460234,0.7166735268718267,0.21981556937593816,0.2762797236890966,0.36056575891914733,0.4405869095987809,0.6538446676970633,0.39999999999999947,0.26277991773846043,0.44978944811504085,0.3350210540339771,0.5518142531346779,0.45788408530032226,0.4210657220379861,0.21838889941276785,0.6684880734411558,0.3712208853049202,0.3157915630127561,0.5980071737449535,0.294922226218306,0.7388033405562773,0.2610360479057685,0.6882276843467013,0.2377749622600821,0.691367741817047,0.42086990605480556,0.1379165074180868
2,Winnipeg Jets,1,Anaheim Ducks,4,5,0.5806451612903226,0.558139534883721,0.0,0.4722222222222222,0.4375,0.6666666666666665,0.5074626865671642,0.5085574572127142,0.33587786259541974,0.45299145299145316,0.2,0.5,0.5173913043478261,0.7142857142857142,0.3374999999999999,0.4545454545454546,0.6153846153846153,0.5844155844155843,0.5774456521739131,0.7352941176470588,0.3157894736842106,0.0855539971949506,0.6363636363636365,0.5,0.35593220338983067,0.5,0.5568544102019128,0.30952380952380976,0.685,0.6923076923076898,0.4,0.5470407843153995,0.3621342512908772,0.3354344889689327,0.3510696653867251,0.3667715544367527,0.37253547193090686,0.4156840934371523,0.20410541209227717,0.35930066781721337,0.2580773042616453,0.5493656922228353,0.6186094776893808,0.43039242465628696,0.27892625732798515,0.5549291901553691,0.5392725355824987,0.41122153533140304,0.0,0.3454055466182675,0.33890358932851816,0.3996017278882388,0.25959044144712173,0.1970023221448174,0.4325301095552492,0.8632841230080479,0.3236929922135703,0.3748303102480226,0.35426725813152515,0.5118654902895425,0.4510533687021474,0.7014886757154797,0.36247959830756904,0.569667713974042,0.549002276402232,0.8460489472344449,0.11035833377441384,1.0,0.6704884385715815,0.885892867727935,0.11391454432864645,0.3694071463621361,0.5001152647743413,0.4685700033613615,0.37610689794131735,0.17257484254229638,0.7096774193548387,0.4883720930232558,0.0,0.25,0.59375,0.9999999999999998,0.31343283582089543,0.31295843520782396,0.16793893129770998,0.5641025641025643,0.6000000000000001,0.6666666666666666,0.3391304347826087,0.7857142857142857,0.16874999999999996,0.5594405594405596,0.5128205128205129,0.22077922077922096,0.6365489130434785,0.2941176470588235,0.2105263157894739,0.4922861150070119,0.3636363636363636,0.16666666666666666,0.4406779661016951,0.5625,0.28905419766206153,0.30952380952380976,0.6916666666666669,0.5641025641025621,0.30000000000000004,0.6407484517002013,0.3747622067216225,0.12557169601175389,0.1228743828853538,0.1455865739895712,0.14171888697684998,0.1717795601350428,0.14580238000328927,0.19434231259848445,0.04162537165510383,0.3861003861003861,0.31629922263285326,0.17413035456710607,0.0777537796976242,0.36978876450027864,0.0,0.1489944440097033,0.21761240310077534,0.13977700924339853,0.2251723228314848,0.17587502962854273,0.05104722059236222,0.14823950312767353,0.05018410360589165,0.6789852369024145,0.23114571746384804,0.09646482497472952,0.09142420628007031,0.15843503382344037,0.29187166983013313,0.7372726187159176,0.09757300427266014,0.20645237146533768,0.2602850237987493,0.5416742426997345,0.15215385895002687,0.6219823018986776,0.1571402882318207,0.43820318371219935,0.5617015534710141,0.06214033992059598,0.21978389713920266,0.36659984035115145,0.09562225989564133,0.1451420497318825
3,Chicago Blackhawks,2,Colorado Avalanche,4,6,0.8387096774193549,0.5116279069767442,0.0,0.16666666666666663,0.75,0.7777777777777777,0.19402985074626866,0.19559902200488988,0.05343511450381677,0.7606837606837606,1.0000000000000002,0.16666666666666666,0.17391304347826086,0.9285714285714286,0.056250000000000355,0.755244755244755,0.4871794871794871,0.5584415584415585,0.4504076086956521,0.5882352941176471,0.19736842105263186,0.17180925666199176,0.0,0.33333333333333337,0.2033898305084747,0.33333333333333326,0.2561105207226353,0.1904761904761907,0.6549999999999998,0.33333333333333215,0.30000000000000004,0.3228934555923997,0.1696515792901332,0.1917446487459995,0.0743057923529673,0.14284628615868655,0.12177334644947235,0.005015582879876523,0.0,0.09315370747050777,0.003000026785953347,0.39131795888552645,0.0,0.0884192031419565,0.04950090479248148,0.41463985641078993,0.06582227984442007,0.16698214765356156,0.09118346253229959,0.2084647449082544,0.6268790036495417,0.3950072740550975,0.06412394690156886,0.03450695787617919,0.5207638032358695,0.5012813481577503,0.1542143600416228,0.1168825698622864,0.11314098015370533,0.3418430709027298,0.22486267758738432,0.7852963419973729,0.07044025401888598,0.2832953455260956,0.17695177532558226,0.5670933488490492,0.11209989021364763,0.6441949987482527,0.21173379120719815,0.4484927108047345,0.5514097894952918,0.25618662104077117,0.18288381670573994,0.3010642147071381,0.10916751704549155,0.0,0.03225806451612903,0.558139534883721,0.0,0.9444444444444443,0.03125,0.2222222222222221,0.9552238805970149,0.9559902200488998,0.7786259541984732,0.27350427350427364,0.6000000000000001,0.16666666666666666,0.9304347826086957,0.2857142857142857,0.78125,0.2727272727272727,0.9999999999999999,1.0,0.7785326086956523,0.44117647058823517,0.3684210526315792,0.4123422159887795,0.3636363636363636,0.24999999999999997,0.38983050847457634,0.6875,0.8002125398512221,0.5952380952380949,0.5249999999999999,0.8205128205128212,0.6000000000000001,0.4693269339524997,0.4616179001721168,0.324628545700135,0.6819528250137139,0.716441492709184,0.7262747862871244,0.7724508713385242,0.22762111570967036,0.6889172356869518,0.6045589692765116,0.8637617209045781,0.35752334832237975,0.7472457434216515,0.6728787411292811,0.8337687336724874,0.40706378492356343,0.5462242741998593,0.2634883720930232,0.3375957321013625,0.32867208334630416,0.30147973407677464,0.30296472577653244,0.621828161283513,0.49545137125444416,0.7233384853168467,0.46175115207373274,0.3254180695585669,0.4807946255066349,0.3273771074220009,0.7636812167786244,0.9282672110359886,0.4159989663637538,0.36026844911103284,0.7180347879157782,0.9058972274316469,0.43091356587095797,0.8519379543678607,0.7085570426696108,0.2560214975861328,0.7439228448332647,0.43855109961190164,0.033657845281740206,0.5779560516219043,0.5516981916179728,0.3838991001007601
4,Vancouver Canucks,2,Edmonton Oilers,3,5,0.5483870967741935,0.44186046511627897,0.0,0.5000000000000001,0.375,0.7777777777777777,0.5522388059701492,0.5525672371638143,0.30534351145038174,0.2649572649572649,0.4000000000000001,0.6666666666666666,0.6043478260869566,0.5714285714285714,0.30625000000000013,0.2657342657342656,0.7692307692307693,0.5844155844155843,0.7425271739130437,0.7352941176470588,0.3026315789473686,0.07784011220196341,0.27272727272727276,0.33333333333333337,0.22033898305084754,0.3125,0.5324123273113708,0.28571428571428603,0.5033333333333334,0.8205128205128212,0.0,0.1463627174178257,0.5158817086527927,0.4965412795219186,0.41330474243255355,0.3912013565214427,0.4118613650384162,0.5111122346939921,0.14613054971086847,0.47383870975076825,0.2964231011802867,0.7488007488007488,0.29686697483307656,0.47776039554242217,0.25760848223051225,0.7349724385335551,0.22878228782287827,0.49205016753338215,0.23151987996999246,0.5093283201190637,0.6627772605109712,0.4591074805529022,0.48982464766030653,0.37337273942720417,0.5035551041137638,0.24517401268453876,0.4304783092324804,0.42288149520591256,0.3947922859402013,0.49565763594528534,0.22231803231234348,0.0,0.36952834405829926,0.47676218719585073,0.23732808603327316,0.0,0.11103885792924073,0.28649159483375364,0.252511110540242,0.4277255632907644,0.5721814516660291,0.3868938751840122,0.08244034118373211,0.40461930839511123,0.4235684583156738,0.3411356864068713,0.32258064516129037,0.7674418604651168,0.0,0.7499999999999999,0.28125,0.11111111111111105,0.7313432835820896,0.7310513447432764,0.6030534351145038,0.4358974358974361,0.8,0.0,0.7347826086956523,0.5714285714285714,0.6062500000000002,0.43356643356643376,0.8461538461538461,0.4285714285714284,0.9110054347826089,0.5588235294117646,0.5789473684210527,0.3920056100981766,0.8181818181818181,0.33333333333333337,0.23728813559322037,0.0,0.7109458023379385,0.47619047619047583,0.561666666666667,0.6410256410256387,0.30000000000000004,0.4165361808883714,0.6958744067177802,0.49463113803501013,0.6492794095646537,0.6727818062526094,0.6853345297515563,0.5632577162054357,0.147912042409156,0.5948052597711192,0.5360843319217947,0.8154908154908155,0.850686037126715,0.6345867856384106,0.5709797761633615,0.825969026161519,1.0000000000000002,0.5973887082737539,0.3408432108027011,0.5022118224692163,0.3198667872888836,0.4272902735266021,0.4991956350154265,0.45720024820721505,0.6273012950736412,0.5954662545079854,0.6627956989247314,0.41614328306239257,0.48073843762145363,0.4212227892255025,0.7356860796336884,0.6317716833180749,0.44880393930258244,0.5075582496684978,0.6209880310582188,0.4605452319478285,1.0,0.0,0.0,0.5901361745443383,0.40994543111058146,0.5584303579128934,0.5171734598519159,0.5302590274080737,0.48080797904493244,0.24351713514702844
5,Montreal Canadiens,1,Toronto Maple Leafs,2,3,1.0,0.4651162790697674,0.0,0.0,0.96875,0.6666666666666665,0.0,0.0,0.09160305343511443,1.0,0.4000000000000001,0.16666666666666666,0.034782608695652195,0.9285714285714286,0.09375000000000022,1.0,0.15384615384615385,0.5974025974025974,0.07880434782608703,0.9999999999999999,0.8684210526315792,0.12412342215988748,0.3636363636363636,0.8333333333333334,0.5932203389830508,0.39583333333333326,0.34112646121147705,0.16666666666666696,0.855,0.2051282051282044,0.20000000000000004,0.29253073602127233,0.431626506024096,0.0,0.013055403181568837,0.037337144999531224,0.029450956199876588,0.06002039302929174,0.20830464488109746,0.0013131237337736246,0.007631318136769094,0.08301158301158307,0.29225181598062955,0.0,0.02742980561555064,0.0803657362848893,0.28311808118081183,0.10895218718209554,0.3286266829865363,0.0,0.2304496259170481,0.2949174351276004,0.07464731243143952,0.08873759763563438,0.5840448831894358,0.46650180319422985,0.44258064516129014,0.03173380339927334,0.01993035367275553,0.0599089206123633,0.23005563887089542,0.8244085764704321,0.0034669882423876697,0.09706383784807704,0.20770013223476758,0.7357037225596083,0.4059704652516811,0.694707752226579,0.48552418629742533,0.15424518049673663,0.8457212875004934,0.060974557999137535,0.4917115951405363,0.20985564714017332,0.06629936530324398,1.0,0.0967741935483871,0.604651162790697,0.0,0.888888888888889,0.09375,0.2222222222222221,0.8955223880597015,0.8948655256723715,0.8091603053435115,0.44444444444444464,0.4000000000000001,0.0,0.8347826086956522,0.14285714285714285,0.8062499999999999,0.4405594405594404,0.8974358974358975,0.3766233766233764,1.0,0.26470588235294124,0.34210526315789513,0.5799438990182324,1.0,0.16666666666666666,0.3220338983050848,0.29166666666666674,0.7587672688629117,0.6666666666666665,0.3350000000000004,0.512820512820511,0.6000000000000001,0.3675288687052778,0.596385542168675,0.41361866673729386,0.7571230357200476,0.7902416566964212,0.8029266611024422,0.6566555431961438,0.16991871691741167,0.6860994266394188,0.6643735789657788,0.8187599364069954,0.9999999999999999,0.7578075207138304,0.7755050184220555,0.7637434184453379,0.8989581072281311,0.5738090525356396,0.19658549931600566,0.4170300220075651,0.1579864894312486,0.3223246836800343,0.6222712764281202,0.2181822697413356,0.24442009034775847,0.7026962047054783,0.5106332138590197,0.4752284438254275,0.5784117113615752,0.4777469155739289,0.6451584914106325,0.5860477561508488,0.5697571433356781,0.5523352486792534,0.5894845104488078,0.42652123376877016,0.45372477754841567,0.595094679432723,0.3891985853863211,0.5508083183129786,0.4492973849750612,0.8106463513966747,0.6157876660356713,0.864441847167234,0.6312616137193006,0.4228475490303314
6,New York Rangers,1,Washington Capitals,5,6,0.22580645161290322,0.20930232558139483,0.0,0.8333333333333334,0.1875,0.11111111111111105,0.8208955223880597,0.821515892420538,0.33587786259541974,0.03418803418803429,0.6000000000000001,0.33333333333333337,0.7695652173913043,0.3571428571428571,0.3374999999999999,0.034965034965035,0.6923076923076922,0.20779220779220786,0.861413043478261,0.20588235294117652,0.23684210526315796,0.5974754558204758,0.5454545454545454,0.0,0.2542372881355932,0.22916666666666652,0.28799149840595106,0.5476190476190474,0.36333333333333373,1.0,0.8,0.45925773255553426,0.35353915662650603,0.5846465556055831,0.48477783872737246,0.523192192332927,0.5254318322023444,0.630862995921394,0.23292264710555588,0.6237994297291217,0.37506194251734404,0.7203185328185328,0.5968523002421308,0.7578075207138304,0.4306155507559395,0.7044032723772858,0.6735470479704797,0.3941231708271382,0.3668372093023258,0.5918753179611982,0.7223932229243841,0.6304149689041391,0.25334032755937663,0.46022007599746706,0.8923152615540877,0.6805770221535292,0.28888888888888875,0.6603144895891515,0.39119367793755666,0.8872004392481103,0.18963557180451263,0.6556276453183668,0.38963811565560125,0.8607269895392653,0.2529828170149613,0.5651599452101289,0.3403082858436697,0.9180643457398183,0.7278666906431681,0.3314972275461252,0.6684307068897102,0.7033203967227254,0.47231207916996143,0.3027935688152676,0.39088980679248664,0.42439006185922334,0.3870967741935484,0.8604651162790695,0.0,0.611111111111111,0.25,0.7777777777777777,0.671641791044776,0.6723716381418093,0.48854961832061083,0.35897435897435903,0.8,0.33333333333333337,0.6869565217391305,0.42857142857142855,0.48750000000000027,0.35664335664335667,0.5128205128205129,0.7012987012987013,0.4211956521739131,0.32352941176470595,0.22368421052631593,0.46704067321178044,0.5454545454545454,0.5833333333333334,0.1694915254237288,0.35416666666666674,0.48459086078639757,0.5476190476190474,0.11333333333333329,0.4615384615384599,0.7000000000000001,0.5904525733748482,0.7483648881239242,0.3354344889689327,0.4651673066374109,0.4120991390276234,0.44498810258218024,0.5795698924731182,0.044534566117109486,0.5144143468147373,0.44638255698711604,0.46552675124103693,0.5315807679003804,0.4726395338250022,0.39148410984264115,0.4369586140519731,0.6053769109119662,0.3707801862430551,1.0,0.3493654525705012,0.46372796231153135,0.492098894028982,0.22987102440659934,0.5296179016255018,0.27996444895886263,0.7328812883282643,0.7735691987513,0.309087309693846,0.31829926156237853,0.3195639399805379,0.676359362355698,1.0,0.3279010376652045,0.2893448783677264,0.7957087685104067,1.0,0.7047925242836142,0.6687079499191189,0.65966900824289,0.45889731813448753,0.541002920264579,0.3239577682260152,0.10896227399528347,0.5427346960287517,0.307115395864884,0.23779576804141467
7,Montreal Canadiens,1,Buffalo Sabres,5,6,1.0,0.4651162790697674,0.0,0.0,0.96875,0.6666666666666665,0.0,0.0,0.09160305343511443,1.0,0.4000000000000001,0.16666666666666666,0.034782608695652195,0.9285714285714286,0.09375000000000022,1.0,0.15384615384615385,0.5974025974025974,0.07880434782608703,0.9999999999999999,0.8684210526315792,0.12412342215988748,0.3636363636363636,0.8333333333333334,0.5932203389830508,0.39583333333333326,0.34112646121147705,0.16666666666666696,0.855,0.2051282051282044,0.20000000000000004,0.29253073602127233,0.431626506024096,0.0,0.013055403181568837,0.037337144999531224,0.029450956199876588,0.06002039302929174,0.20830464488109746,0.0013131237337736246,0.007631318136769094,0.08301158301158307,0.29225181598062955,0.0,0.02742980561555064,0.0803657362848893,0.28311808118081183,0.10895218718209554,0.3286266829865363,0.0,0.2304496259170481,0.2949174351276004,0.07464731243143952,0.08873759763563438,0.5840448831894358,0.46650180319422985,0.44258064516129014,0.03173380339927334,0.01993035367275553,0.0599089206123633,0.23005563887089542,0.8244085764704321,0.0034669882423876697,0.09706383784807704,0.20770013223476758,0.7357037225596083,0.4059704652516811,0.694707752226579,0.48552418629742533,0.15424518049673663,0.8457212875004934,0.060974557999137535,0.4917115951405363,0.20985564714017332,0.06629936530324398,1.0,0.7419354838709677,0.39534883720930214,0.0,0.2777777777777778,0.65625,0.6666666666666665,0.298507462686567,0.29828850855745725,0.17557251908396942,0.7435897435897436,0.4000000000000001,0.33333333333333337,0.2347826086956522,0.7142857142857142,0.17500000000000027,0.7412587412587412,0.4871794871794871,0.2597402597402598,0.5855978260869568,0.4999999999999999,0.052631578947368585,0.18513323983169716,0.3636363636363636,0.33333333333333337,0.23728813559322037,0.16666666666666674,0.3506907545164717,0.2619047619047623,0.6533333333333338,0.3589743589743577,0.0,0.41858502263187014,0.16867469879518016,0.41361866673729386,0.2696912006711625,0.24364431310062673,0.26109881336865426,0.06488691138301811,0.14052408739567013,0.2176386724870787,0.1991488369381449,0.4735407676584148,0.3728813559322034,0.2794211374798485,0.1671960360818192,0.465662684708147,0.15042326893857175,0.33749303775035333,0.5832558139534885,0.4254092347659686,0.0,0.0,0.1228527738552756,0.48260874964298583,0.3235723568249034,0.4948596499975073,0.17419354838709644,0.29203688922491766,0.19847769015709038,0.26092650512282445,0.447569302411591,0.9284321139991243,0.2149174827623095,0.4373567818929538,0.37629814838512887,0.8750318193388851,0.40101898125777957,0.6679042466020384,0.44666484909305026,0.38665400686374296,0.6134582928331329,0.21879564328339518,0.054401135328041805,0.2541892609715497,0.19765823545852212,0.5645970142339269
8,New York Islanders,3,Carolina Hurricanes,6,9,0.6129032258064516,1.0,0.0,0.41666666666666663,0.53125,0.5555555555555556,0.4328358208955224,0.43276283618581923,0.17557251908396942,0.2649572649572649,0.2,0.8333333333333334,0.4956521739130435,0.42857142857142855,0.17500000000000027,0.2657342657342656,0.46153846153846156,0.07792207792207773,0.6501358695652175,0.02941176470588236,0.09210526315789513,0.730014025245441,0.27272727272727276,0.41666666666666663,0.3728813559322035,0.2708333333333335,0.26142401700318807,0.3571428571428572,0.5983333333333332,0.8461538461538467,0.8,0.0,1.0,0.6764026666279355,0.3998372055987116,0.37857343706064306,0.3985194324491055,0.31426196371117243,0.37082849972066145,0.4602202175065414,0.3482208510502256,0.5480134512392577,0.32664219323596033,0.48354201361047716,0.31826099073364467,0.5265608991275731,0.40066658731103433,0.4275285309315435,0.4184057738572575,0.6876961268944055,0.9637515611197411,0.6229618202320256,0.4631956542670197,0.4064230117060612,0.752776589773061,0.17409582689335412,1.0,0.499432003656068,0.32710952195880294,0.8381725986693365,0.19097177236868923,0.6985683769188924,0.30896874685961206,0.8038643682515634,0.21344386803648252,0.6556080827181594,0.3430371036891975,0.6868180646639352,0.43157705448660444,0.5124908615500132,0.4873977259252422,0.28072445019404924,0.5790094170081231,0.2526389220347695,0.2960155148095909,0.32645379474884884,0.06451612903225806,0.5813953488372094,0.0,0.888888888888889,0.0625,0.33333333333333326,0.9104477611940297,0.9095354523227382,0.5419847328244274,0.0,0.0,0.16666666666666666,0.9173913043478261,0.21428571428571425,0.5437500000000002,0.0,0.5897435897435898,0.3896103896103895,0.640625,0.0,0.8947368421052633,1.0,0.18181818181818182,0.08333333333333334,0.423728813559322,0.125,0.7194473963868226,0.4047619047619051,0.0,0.8461538461538467,0.5000000000000001,0.6858623316775609,0.4561695056086412,0.8810725209209895,0.8320502392797018,0.8643701862631341,0.8797038864898212,0.8738253231559969,0.4947502415308951,0.9141152392213895,0.8526024401079937,0.7495673012914393,0.25548968856975873,0.9999999999999998,0.9306620987562375,0.7294812651422126,0.436696780760911,0.8464992404024922,0.4575415282392028,0.8788511531471817,0.2294617563739374,0.5597476835247398,0.9786729253297277,0.7500746143710924,0.9654131221432198,0.8469860896445134,0.4543778801843317,0.6514796817728201,0.7095355060796182,0.3989775485156919,0.9900435704714674,0.8483923382671542,0.7212028941814892,0.5344085730522559,0.9278303326213004,0.754112487207327,0.5139658679329453,0.8946490449325566,0.8201120045212846,1.0,0.0,0.8059508408796897,0.6611109399550205,0.737484625410754,0.6790274819377682,0.1284341852511819
9,Arizona Coyotes,2,Columbus Blue Jackets,8,10,0.967741935483871,0.5116279069767442,0.0,0.08333333333333337,1.0,0.2222222222222221,0.02985074626865669,0.0317848410757946,0.0,0.9316239316239319,0.0,0.5,0.0,1.0,0.0,0.93006993006993,0.0,0.0,0.08899456521739124,0.9117647058823529,0.6315789473684212,0.0855539971949506,0.09090909090909088,0.16666666666666666,0.5932203389830508,0.22916666666666652,0.0,0.3571428571428572,1.0000000000000004,0.3589743589743577,0.0,0.3449042715541337,0.41788205453392546,0.12557169601175389,0.007275456881369546,0.04419592424683416,0.031806227474918014,0.028960053080420656,0.2958696991406009,0.0,0.04856293359762143,0.0,0.0758251561106155,0.11576263795243363,0.09071274298056142,0.004305759586647029,0.0,0.0,0.4445238678090577,0.12670758280017136,0.2760606025851291,0.2622210684334686,0.0,0.1613835094385747,0.8015905184201269,0.4235398810360169,0.3368523949169111,0.08677425162376506,0.0,0.3040501259608548,0.0,0.6182171594542727,0.0,0.37639704489486636,0.0,0.4958130708885282,0.5427214504650593,0.4228721534772646,0.22643082506416157,0.0,1.0,0.18742404641499089,0.26288548630580133,0.0,0.0,0.09551931531709723,0.6451612903225806,0.1860465116279073,0.0,0.41666666666666663,0.625,0.2222222222222221,0.3880597014925372,0.3887530562347189,0.3969465648854962,0.8290598290598292,0.6000000000000001,0.33333333333333337,0.34347826086956523,0.7142857142857142,0.40000000000000013,0.825174825174825,0.33333333333333337,0.23376623376623362,0.41372282608695654,0.5294117647058824,0.3947368421052633,0.33590462833099455,0.45454545454545453,0.33333333333333337,0.1694915254237288,0.02083333333333348,0.3634431455897982,0.5476190476190474,0.9616666666666664,0.43589743589743435,0.1,0.08924533357732933,0.14231927710843362,0.5846465556055831,0.5346955567745475,0.5444394976098978,0.5580621529919803,0.19514738598442707,0.14473875854033147,0.35434643955879064,0.564544103072349,0.3993725868725869,0.5016646489104116,0.41124920331421283,0.6255399568034556,0.399422521655438,0.2397370848708487,0.43965685890914785,0.5909302325581398,0.5901909829641543,0.512007881165105,0.317338623203946,0.42553222020969916,0.6655319822672578,0.6350958234995372,0.2555815924614848,0.12757544224765827,0.3602385711006324,0.31045833281095225,0.6050153049211207,0.3721876063606424,0.8297376905624327,0.29502951559415314,0.7331789378486886,0.33486240037275117,0.7880286555874759,0.6513164971494816,0.6586616584556513,0.6095503825605775,0.33796829709432874,0.6619582305687222,0.3753703626424071,0.019200400704014742,0.028934133098196535,0.30249044542517867,0.3378849472452874
