,Visitor,G,Home,G.1,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk.1,AvAge.1,GP.1,W.1,L.1,OL.1,PTS.1,PTS%.1,GF.1,GA.1,SOW.1,SOL.1,SRS.1,SOS.1,GF/G.1,GF/G.1,PP.1,PPO.1,PP%.1,PPA.1,PPOA.1,PK%.1,SH.1,SHA.1,PIM/G.1,oPIM/G.1,S.1,S%.1,SA.1,SV%.1,SO.1,Rk.1,Age.1,GP.1,G.1,A.1,PTS.1,+/-.1,PIM.1,PS.1,EV.1,PP.1,SH.1,GW.1,Assist-EV.1,PP.1,Assist-SH.1,S.1,S%.1,TOI.1,BLK.1,HIT.1,FOW.1,FOL.1,FO%.1,Rk.1,Age.1,GP.1,CF.1,CA.1,CF%.1,CF% rel.1,FF.1,FA.1,FF%.1,FF rel.1,oiSH%.1,oiSV%.1,PDO.1,oZS%.1,dZS%.1,TK.1,GV.1,SAtt.1,Thru%.1
0,St. Louis Blues,5,Chicago Blackhawks,2,7,0.3103448275862069,0.5428571428571427,0.0,0.7272727272727273,0.2702702702702702,0.2727272727272727,0.7285714285714284,0.7283372365339579,0.6017699115044246,0.39393939393939403,0.125,0.25,0.645021645021645,0.25,0.6014492753623188,0.3884297520661155,0.625,0.3636363636363633,0.7329974811083124,0.24242424242424243,0.7721518987341773,0.9220999153259957,0.1818181818181818,0.3,0.5423728813559323,0.3750000000000002,0.12076271186440746,0.8484848484848482,0.2987012987012987,0.4827586206896548,0.5555555555555556,0.6591600730371274,0.5807629870129869,0.5542521994134897,0.5875471587751881,0.5635199240986718,0.571952008046555,0.5333634305143091,0.48743335872048743,0.5957647144034117,0.5839822024471635,0.6313204598727536,0.17921146953405015,0.6231557889472369,0.5796039067868968,0.6573909062668606,0.0,0.3826759077037165,1.0,0.5330558869134592,0.37146183314607484,0.300835046843285,0.4635203997918529,0.49614204703913756,0.20675031880849826,0.5525917830501585,0.795513823682839,0.43853562916895816,0.3242998968306403,0.2623897963050872,0.5400357744107751,1.0,0.2925241386021895,0.17800846272475113,0.6056268270880132,1.0,0.5960986804360295,0.27637071713413874,0.5622035506166174,0.30301061295213527,0.6969893870478674,0.3119786453119787,0.0,0.2820342864029406,0.8074074074074078,0.06896551724137931,0.9428571428571413,0.0,0.8484848484848484,0.10810810810810811,0.4545454545454546,0.8714285714285714,0.8711943793911007,0.6637168141592917,0.35353535353535337,0.375,0.125,0.7099567099567099,0.125,0.666666666666667,0.35537190082644576,0.375,0.33333333333333304,0.4601175482787574,0.4545454545454546,0.11392405063291156,0.3243014394580861,0.0,0.5,0.22033898305084754,0.2708333333333335,0.4978813559322033,0.7272727272727271,0.6551226551226552,0.862068965517242,0.1111111111111111,0.5226317015459685,0.8993506493506498,1.0,0.9011786038077971,0.8589869281045753,0.8737936154417225,0.7445440629783512,0.39138529237539144,0.7746281223687905,0.9802955665024631,0.5813148788927337,0.0,0.849459278399847,0.9941897998708842,0.5818550430816016,0.011915400655347033,0.9469496021220158,0.5265265088715648,1.0,0.7683592110784727,0.06046320967411356,0.6189507339049554,0.9273775216138331,0.20235016000577444,0.5153300885742973,0.9868544600938982,0.7459169945424544,0.6911445641903653,0.6499973627301017,0.61328125,0.7032264207081225,0.6158370905616435,0.5488949446894991,0.6043705153294194,0.6480115752525388,0.4184509466437174,0.7617428880086443,0.7012169670687083,0.7430340557275543,0.256965944272447,0.5787387387387388,0.6081509763281336,0.6318761109939444,0.7018726591760318
1,Calgary Flames,4,Edmonton Oilers,7,11,0.4827586206896552,0.6285714285714281,0.0,0.696969696969697,0.3783783783783783,0.0,0.657142857142857,0.6557377049180327,0.5044247787610618,0.4242424242424243,0.375,0.25,0.5800865800865801,0.25,0.5072463768115942,0.42148760330578483,0.6875,0.7121212121212119,0.6389588581024348,0.5757575757575757,0.9493670886075951,0.6511430990685865,0.6363636363636364,0.3,1.0,0.8541666666666667,0.24364406779661074,0.6363636363636362,0.33766233766233755,0.4827586206896548,0.22222222222222227,0.14247489793666546,0.32690746753246636,0.6545454545454548,0.5610154125113329,0.6320588235294117,0.6071269487750559,0.48591296741745027,0.9999999999999999,0.5609879315183837,0.4758620689655173,0.7363321799307959,0.6888888888888889,0.581223083548665,0.5874757908327952,0.7379624936644704,0.8337801608579087,0.5239610963748893,0.6987548061660022,0.6335044630481788,0.39051615610574886,0.2391883582701373,0.5537857869495708,0.7085878962536019,0.5781048975495973,0.03372403169076277,0.5520778994957407,0.48424550962944135,0.3902903976717036,0.26776201276438627,0.5222800925925926,0.479182782901914,0.33169441873272776,0.20863387809878642,0.46308376217052016,0.22252887114493192,0.13195639701663797,0.1331572840395303,0.0978452364819109,0.19598924690083885,0.8046477850399429,0.5707374040707374,0.5303807134286027,0.4285934272677667,0.018121578795735616,0.24137931034482757,0.17142857142857082,0.0,0.7575757575757576,0.18918918918918914,0.4545454545454546,0.7857142857142856,0.784543325526932,0.6902654867256637,0.3030303030303032,0.375,0.625,0.7316017316017316,0.125,0.6884057971014492,0.2975206611570247,0.8125,0.5151515151515151,0.8656591099916036,0.33333333333333326,0.26582278481012667,0.5774767146486024,0.2727272727272727,0.3,0.5423728813559323,0.6041666666666667,0.5805084745762716,0.6969696969696968,0.427128427128427,0.724137931034484,0.44444444444444436,0.40681893412777237,0.15706168831168732,0.6545454545454548,0.7209428830462377,0.6485294117647061,0.6739420935412026,0.6340870325825497,0.5750190403655749,0.6820095425203481,0.6620689655172414,0.8525951557093426,0.2888888888888889,0.6342807924203274,0.6200129115558421,0.8160162189559048,0.2520107238605898,0.6926613616268789,0.5351049298096026,0.6554992515385041,0.6669744020142676,0.6250871080139371,0.39225403284406335,0.7646109510086456,0.22728439322120852,0.6191305231856252,0.272126586680578,0.50534237753428,0.5059474333563037,0.44859081878439455,0.5827809343434343,0.7171476743032826,0.4866724835970304,0.31758696873821224,0.6808243337923718,0.6885131695292196,0.35742971887550157,0.5805981230300148,0.5460767041604591,0.6094229764680414,0.39057702353195944,0.5358692025358691,0.7629540743972947,0.5184437548331375,0.5672908863920103
2,Toronto Maple Leafs,4,Ottawa Senators,5,9,0.41379310344827586,0.028571428571427582,0.0,0.5454545454545454,0.21621621621621623,1.0,0.6714285714285715,0.6697892271662763,0.7522123893805308,0.5757575757575757,0.0,1.0,0.6190476190476191,0.5,0.7536231884057969,0.5702479338842972,0.84375,0.5,0.9076406381192275,0.36363636363636376,0.6202531645569622,0.7256562235393735,0.4545454545454545,0.5,0.6610169491525424,0.7083333333333333,0.7288135593220337,0.7272727272727271,0.797979797979798,0.6551724137931032,0.22222222222222227,0.3324782080988635,0.1344155844155832,0.6545454545454548,0.7742520398912061,0.6897058823529413,0.7193763919821827,0.5061185217581456,0.6635567402894137,0.5943306202638228,0.6886699507389162,0.910726643598616,0.488888888888889,0.5281653746770026,0.6254357650096833,0.9721236695387734,0.16890080428954424,0.7658709106984971,0.4251031782426188,0.6484204690358708,0.4736046999580361,0.5240008198401311,0.6668580148234264,0.7013256484149852,0.08186581169846696,0.5512170156919876,0.12163892445582647,1.0,0.9999999999999998,1.0000000000000002,0.6062758264462813,0.7802304508939438,1.0,1.0000000000000002,0.6046521971179519,0.8593967325244622,0.45157252386168034,0.34301240711035774,0.4841565129544563,0.23240141351596266,0.7675985864840373,1.0,0.7991808562333271,1.0000000000000002,0.48818522301668477,0.3793103448275862,0.7714285714285705,0.0,0.6666666666666667,0.2432432432432432,0.5454545454545455,0.7142857142857142,0.7142857142857143,0.36283185840707954,0.3333333333333335,0.625,0.5,0.5670995670995671,0.5625,0.36231884057971,0.330578512396694,0.40625,0.6515151515151514,0.36775818639798485,0.5454545454545454,0.5696202531645569,0.4961896697713799,0.5454545454545454,0.10000000000000003,0.7627118644067798,0.8125000000000002,0.4025423728813564,0.3636363636363633,0.5007215007215007,0.7586206896551744,0.7777777777777779,0.5914478281658022,0.6005478896103895,0.13636363636363624,0.17769718948322755,0.18529411764705894,0.18262806236080165,0.5234054960274073,0.502877210798003,0.3454953690710075,0.1921182266009851,0.2664359861591695,0.47222222222222227,0.333620442147574,0.1897998708844415,0.24362223348538614,0.5428954423592494,0.16799292661361642,0.010388373487601021,0.13137439707268372,0.4141838019303399,0.3953679032588646,0.17128687690742606,0.19538904899135434,0.5538584981949006,0.5177093526155048,0.704225352112676,0.13737783982738927,0.2676522616349697,0.2716300086150818,0.34090909090909083,0.47832192799761963,0.20659281598041268,0.15305651139696552,0.44683626875407745,0.37619570751051684,0.03820998278829624,0.21253150882246885,0.0659235668789826,0.5726980850819854,0.4273019149180155,0.2593093093093093,0.41466128504418026,0.26248079298605065,0.7602996254681669
3,Los Angeles Kings,1,San Jose Sharks,2,3,0.7241379310344828,0.8571428571428577,0.0,0.5151515151515151,0.43243243243243246,0.36363636363636365,0.5428571428571427,0.5409836065573771,0.3008849557522124,0.2424242424242422,0.125,0.5,0.5411255411255411,0.375,0.30434782608695676,0.23966942148760317,0.5,0.4545454545454546,0.5491183879093198,0.18181818181818188,0.5443037974683547,0.8966977138018626,0.36363636363636365,0.10000000000000003,0.576271186440678,0.5625000000000002,0.593220338983051,0.18181818181818166,0.0,0.4137931034482776,0.6666666666666667,0.11134404845096668,1.0,1.0,0.5542459957691146,0.5570261437908498,0.5560504825538233,0.391321038948417,0.7586527883557587,0.6291826488290142,0.49753694581280805,0.7104959630911188,0.4444444444444445,0.5841707340415351,0.524209167204648,0.7032719490904995,0.4736371760500447,1.0,0.3273653914240885,0.9869379608582358,0.5199328577423414,1.0,1.0,0.8835734870317002,0.5707634561247319,0.10061226823906155,1.0,0.6433862165249393,0.7123379345131109,0.311276966084709,1.0,0.8865147277595953,0.6777164014212773,0.2467956860118703,1.0,0.9745494493716675,0.11359724612736666,0.3737558516384638,0.22276189185526718,0.9999999999999996,0.0,0.0,0.5269772008290607,0.7277213702509717,0.10142322097378376,0.3448275862068965,1.0,0.0,0.7272727272727273,0.2702702702702702,0.2727272727272727,0.7285714285714284,0.7283372365339579,0.4778761061946901,0.23232323232323226,0.125,0.125,0.6623376623376623,0.3125,0.4782608695652173,0.23140495867768562,0.34375,0.5303030303030303,0.3459277917716206,0.2727272727272727,0.1265822784810129,0.5723962743437756,0.5454545454545454,0.4000000000000001,0.3389830508474576,0.3958333333333335,0.38135593220339015,0.5151515151515151,0.2150072150072151,0.6551724137931032,0.0,0.44678914266799064,0.7232142857142847,0.6545454545454548,0.5381686310063465,0.5744117647058823,0.5616926503340758,0.6057992565055762,0.38220360497588224,0.6202638226213866,0.5556650246305419,0.41660899653979244,0.5888888888888888,0.6608096468561585,0.6471271788250483,0.42574759249873284,0.41823056300268097,0.5929266136162687,0.6700500899502625,0.6456395187669792,0.7576164498531264,0.22885837261733966,0.3810710652521436,0.6401152737752163,0.1912971295204633,0.3890367679619313,0.9317443120260034,0.5634940006053091,0.6362820121176485,0.519479281201946,0.6245902534965042,0.7430206211521295,0.5671512208790881,0.33162406979408887,0.7063199357719903,0.6211681194130754,0.3376141930358798,0.6378586004081157,0.561309641706714,0.7710698314413489,0.2292609351432895,0.6098406098406097,1.0,0.628235643119196,0.43514837222702507
4,Montreal Canadiens,4,Buffalo Sabres,1,5,0.2068965517241379,0.7714285714285705,0.0,0.7575757575757576,0.18918918918918914,0.4545454545454546,0.7857142857142856,0.784543325526932,0.5132743362831858,0.21212121212121193,0.25,0.25,0.7056277056277056,0.4375,0.5144927536231885,0.20661157024793386,0.46875,0.2878787878787876,0.5894206549118388,0.4545454545454546,0.5949367088607596,0.6113463166807795,0.36363636363636365,0.4000000000000001,0.593220338983051,0.2708333333333335,0.39406779661016955,0.5757575757575752,0.445887445887446,0.862068965517242,0.22222222222222227,0.23992578267914055,0.4550367395762134,0.0,0.21109891682969883,0.22051083591331266,0.21720783026608825,0.6296914383049248,0.30940594059405935,0.41455308211589886,0.25045372050816694,0.2575122928428336,0.28362573099415206,0.41506867945056447,0.2663857836974617,0.21212687064849156,0.24763651756737687,0.05002559449020483,0.4061681373704814,0.0,0.15882236013870177,0.18132490480145846,0.0,0.10920673441528872,0.5998045042227089,0.4383093365187887,0.5281690140845079,0.19196598553115862,0.41623694468942807,0.16829926231793402,0.5845424107142847,0.4126641730777403,0.33980131122647017,0.06666622677800249,0.6731665268847271,0.4787193728540424,0.3276985492992379,0.5859440643380189,0.5232416316574096,0.4261511622192722,0.5741559781807477,0.26898326898326885,0.582497000109087,0.35115801615756426,0.9733012306046005,0.8620689655172414,0.08571428571428452,0.0,0.33333333333333326,0.4864864864864864,0.7272727272727272,0.4285714285714286,0.4285714285714285,0.3008849557522124,0.5454545454545454,0.125,0.75,0.3939393939393939,0.6875,0.30434782608695676,0.545454545454545,0.84375,0.33333333333333304,1.0,0.6363636363636365,0.44303797468354444,0.3166807790008459,0.1818181818181818,0.2,0.5423728813559323,0.41666666666666674,0.4618644067796609,0.2424242424242422,1.0,0.862068965517242,0.0,0.0,0.024420222634507383,0.20858409882800144,0.16935630099728027,0.16970588235294126,0.16958320076360156,0.290785042641592,0.3709607224458712,0.23867527364580426,0.09584799437016178,0.6449826989619377,0.146031746031746,0.19844961240310077,0.06920593931568741,0.6086163203243791,0.1332822673305247,0.2556776556776561,0.0,0.21054720851582864,0.16369522210898624,0.27945422071267534,0.13593331534037834,0.2844133388225607,0.0014211693027428307,0.0,0.18227009113504522,0.0,0.11125324235447898,0.15138084349199343,0.39135611631015976,0.8809090431769255,0.10958519145617696,0.1411317766061646,0.4536951767008186,0.9329142873354695,0.13136579933178094,0.6274792235943778,0.3861893449614584,0.45211355956211063,0.5478864404378903,0.0845257021727609,0.15737074801558032,0.09156805441588545,0.8979070279797297
5,Boston Bruins,6,Columbus Blue Jackets,3,9,0.44827586206896547,0.7714285714285705,0.0,0.6666666666666667,0.32432432432432434,0.2727272727272727,0.6714285714285715,0.6697892271662763,0.5929203539823009,0.3232323232323231,0.125,0.375,0.6883116883116883,0.5,0.5942028985507246,0.32231404958677645,0.71875,0.5,0.7699412258606213,0.18181818181818188,0.8101265822784809,1.0,0.8181818181818182,0.4000000000000001,0.728813559322034,0.6666666666666667,0.9491525423728815,0.3939393939393936,0.10678210678210664,0.4137931034482776,0.5555555555555556,0.14363345470594746,0.5193993506493495,0.6545454545454548,0.6371713508612875,0.49617647058823533,0.5456570155902003,0.5249770391427947,0.7619319624270121,0.6486668537749085,0.5379310344827588,0.7653979238754326,0.8888888888888888,0.6077519379844961,0.43021304067140087,0.675519513431323,0.8337801608579087,0.8772767462422637,0.19526748495659418,0.6299650717968621,0.3633235417540912,0.40520598483295744,0.8631812236593515,0.521844380403458,0.37692788912682595,0.055741378653038076,0.6192326372025274,0.38306541614330536,0.5234989903404377,0.12441275274594354,0.9354795258620685,0.7148365121218028,0.5163291424664784,0.052878845674504626,0.982916076208471,0.7156948708732904,0.12054127841414919,0.41012586972628995,0.2498235907117614,0.8640380532128149,0.13596194678718554,0.4476545511028269,0.41052425679818544,0.5159676646868334,0.6233814874264318,0.10344827586206896,0.028571428571427582,0.0,0.8484848484848484,0.1351351351351351,0.36363636363636365,0.857142857142857,0.8571428571428571,0.7256637168141593,0.16161616161616155,0.125,0.25,0.8658008658008658,0.625,0.72463768115942,0.15702479338842967,0.375,0.0,0.617968094038623,0.21212121212121215,0.26582278481012667,0.7290431837425917,0.8181818181818182,0.0,0.4915254237288136,0.41666666666666674,0.5656779661016955,0.7575757575757573,0.5324675324675323,1.0,0.5555555555555556,0.36536834749347147,0.006087662337661115,1.0,0.9604110003022062,0.8315359477124186,0.8767631774313289,0.8268629880700731,0.6843248427406844,0.8967474350578475,0.9605911330049262,0.5813148788927337,1.0,0.9084122882572495,0.9038089089735313,0.6338908599425579,0.5659815311289842,0.9846743295019156,0.5229827167461655,0.9813198795069393,0.6911456147712964,0.4515269522443124,0.8481325388751633,0.9999999999999998,0.8142008132624332,0.25543581858154063,0.0058685446009398845,0.8288276854084695,0.7532164448959584,0.745822124936266,0.6047289299242413,0.8724858673013983,0.743438535726016,0.670590748481559,0.6593824744509673,0.9807916454543019,0.4279259896729777,0.23146481014684994,0.3981484618511999,0.3908812062836833,0.6091187937163176,0.45420420420420426,0.290539434929639,0.6793181886656021,0.600842696629214
6,Anaheim Ducks,2,Dallas Stars,4,6,0.1724137931034483,0.4285714285714288,0.0,0.7272727272727273,0.10810810810810811,0.8181818181818182,0.8142857142857143,0.8126463700234191,0.486725663716814,0.202020202020202,0.25,0.375,0.6753246753246753,0.25,0.48550724637681175,0.1983471074380163,0.53125,0.606060606060606,0.5188916876574308,0.33333333333333326,1.0,0.9144792548687555,0.7272727272727273,0.5,0.9491525423728815,0.9583333333333333,0.3220338983050848,0.5757575757575752,0.445887445887446,0.8965517241379324,0.5555555555555556,0.8138263636029275,0.48731737012987075,0.13636363636363624,0.2665457842248413,0.2470588235294119,0.2538975501113585,0.6098403673737153,0.6602775662181603,0.45457947422583994,0.2512315270935961,0.3633217993079586,0.6388888888888888,0.4441573356302039,0.23499031633311795,0.34769386720729845,0.5428954423592494,0.13439434129089323,0.4416083900666691,0.12284193602040228,0.15736466638690727,0.41381430621028903,0.31418035169306746,0.0,0.5160832218331775,0.9047556264375856,0.6631455399061039,0.052528874222617095,0.1622568573681631,0.06378566907537309,0.4032204367897734,0.49219168402261226,0.14248417485294573,0.011923800836008525,0.45646811806914434,0.3124187789716245,0.412274096385542,0.5268425159044554,0.5606323688846722,0.5093094255245965,0.49069057447540354,0.012387387387387316,0.3491702574451839,0.1883059413696484,0.0,0.7931034482758621,0.685714285714285,0.0,0.36363636363636354,0.4864864864864864,0.6363636363636364,0.44285714285714284,0.44262295081967207,0.5044247787610618,0.8383838383838382,0.0,0.25,0.36363636363636365,0.4375,0.5072463768115942,0.8347107438016526,0.5,0.6969696969696968,0.4492023509655749,1.0,0.5949367088607596,0.0,0.36363636363636365,0.9000000000000001,0.6949152542372883,0.6666666666666667,0.491525423728814,0.5151515151515151,0.46031746031746046,0.0,0.0,0.36877342473652197,0.5259740259740244,0.5542521994134897,0.5064779340800749,0.48780834914611015,0.4943602270278038,0.38345125314785944,0.654988575780655,0.36989488741817794,0.5067535356745592,0.5188079026677085,0.3727598566308244,0.3407518546303242,0.5113809117224433,0.5063191798963427,0.32171581769436997,0.5623627392259207,0.6113648923536396,0.54296455136127,0.6565456932844207,0.20372366098288253,0.5993994683818462,0.6457376591986612,0.5063039869108057,0.43277552021881105,0.4261466233297231,0.27868628388999017,0.42429420736622303,0.32578195052481673,0.4924470061188817,0.52336072139702,0.3628827951481799,0.2033848925144739,0.5946735912489345,0.4417517050619058,0.2220309810671257,0.18161085103829322,0.19779884703993567,0.12541345823079597,0.8749173083538424,0.3201663201663201,0.4772008290607615,0.416767288630143,0.2743877845001448
7,New Jersey Devils,1,Florida Panthers,2,3,0.896551724137931,0.5714285714285712,0.0,0.18181818181818177,0.5675675675675675,0.9090909090909091,0.3142857142857143,0.31381733021077285,0.1327433628318584,0.6464646464646466,0.25,0.375,0.28138528138528135,1.0,0.13768115942029002,0.6446280991735533,0.4375,0.606060606060606,0.4181360201511335,0.6363636363636365,0.7468354430379747,0.49026248941574924,0.4545454545454545,1.0000000000000002,0.7118644067796611,0.6458333333333333,0.012711864406780293,0.21212121212121193,0.6522366522366521,0.44827586206896797,0.0,0.7288655338556036,0.26085633116883145,0.13636363636363624,0.012692656391659174,0.020588235294117685,0.017817371937639104,0.2001166265762811,0.47500423119235,0.13247263541959037,0.0,0.2906574394463669,0.3888888888888889,0.04622451909273617,0.0,0.2566311877006251,0.0580875781948168,0.0053050397877987265,0.20333266703509045,0.13095304097133642,0.0,0.11313793810207007,0.03460616189507304,0.229971181556196,0.15154832655614614,0.7760006438686342,0.2222222222222232,0.0060498371197699186,0.0,0.0,0.25213068181818254,0.5607795299018149,0.0,0.0,0.37888671450315403,0.6856890222662845,0.0,0.3355979674308891,0.10690472963816511,0.12120169705308959,0.8787983029469122,0.08753753753753757,0.14408203338060438,0.0,1.0,0.7586206896551725,0.7142857142857135,0.0,0.3939393939393938,0.45945945945945943,0.6363636363636364,0.4714285714285713,0.4707259953161592,0.35398230088495564,0.5454545454545454,0.5,0.75,0.44155844155844154,0.6875,0.35507246376811596,0.545454545454545,0.46875,0.8181818181818183,0.3719563392107472,0.1212121212121211,0.5443037974683547,0.9661303979678237,0.6363636363636364,0.6000000000000001,0.6949152542372883,0.6875000000000002,0.7860169491525424,0.18181818181818166,0.6854256854256855,0.6206896551724164,0.1111111111111111,0.9097446903930546,0.5150162337662341,0.5542521994134897,0.3811891322785368,0.3762333965844403,0.3779725554996767,0.2622179271036872,0.6645087585681645,0.366309652069206,0.3437152391546163,0.49067976336644714,0.6630824372759856,0.2637325998166209,0.3591911535017389,0.460997661985187,0.6434316353887399,0.7050854225492715,0.5331252942085168,0.5525062282369393,0.05567663422359992,0.2844117977639522,0.39858703958070585,0.6758575811099747,0.2971535814826398,0.8973834364793944,0.6845070422535215,0.595918263739053,0.5229104652567116,0.4302178384935915,0.5529119318181817,0.760337994644451,0.5552715654952078,0.46841643380060494,0.5795825179386824,0.8130746764556148,0.17060240963855455,0.4427895810827067,0.3093345981840372,0.7131062951496392,0.2868937048503626,0.6401801801801803,0.5974299116395767,0.5984694646139015,0.7576029962546826
8,New York Islanders,3,New York Rangers,5,8,0.5862068965517242,0.6571428571428566,0.0,0.5757575757575757,0.2702702702702702,0.7272727272727272,0.657142857142857,0.6557377049180327,0.654867256637168,0.6161616161616164,0.125,0.5,0.5844155844155844,0.8125,0.6521739130434785,0.611570247933884,0.15625,0.3484848484848482,0.20235096557514698,0.24242424242424243,0.31645569620253156,0.7180355630821333,0.36363636363636365,0.5,0.35593220338983067,0.2708333333333335,0.4385593220338988,0.7272727272727271,0.7157287157287158,0.5517241379310356,0.22222222222222227,0.14803167947822038,0.5848214285714288,1.0,0.8927168328800243,0.772058823529412,0.814402375649592,0.5379983963845761,0.5531578798905531,0.6497645554620017,1.0,0.3552479815455595,0.4444444444444445,0.6431237438989378,0.9520120507854528,0.32167595877682054,0.2889484658921656,0.9139404656646035,0.6704328194998058,0.9922751381419674,1.0,0.8384914941586392,0.6534660659787823,0.9342939481268011,0.5831428502682805,0.1408133171613115,0.7346548426360631,0.591487921479037,0.5343407146392347,0.7077465407809835,0.11817392676767824,0.3420608945750272,0.48898377341839794,0.592651183318835,0.297286849798267,0.4426462313442835,1.0,0.4527578833184407,1.0,0.33677330581355447,0.6632266941864464,0.4496162829496162,0.5828515326715393,0.501504758652781,0.33488908095649617,0.27586206896551724,0.6285714285714281,0.0,0.7878787878787878,0.2432432432432432,0.18181818181818177,0.7714285714285714,0.7704918032786886,0.7787610619469028,0.39393939393939403,0.25,0.5,0.7748917748917749,0.6875,0.7826086956521738,0.3884297520661155,0.53125,0.3181818181818179,0.6473551637279598,0.39393939393939403,0.278481012658228,0.508890770533446,0.7272727272727273,0.3,0.23728813559322037,0.35416666666666696,0.3495762711864412,0.9696969696969697,0.49783549783549796,0.6551724137931032,0.44444444444444436,0.6804314244731322,0.42881493506493484,0.6524390243902438,0.7970988213961923,0.7555882352941178,0.7701559020044544,0.7135622129892849,0.2976009139375476,0.6980634296940782,0.7862068965517242,0.5910034602076125,0.7888888888888888,0.6873385012919896,0.8152356358941251,0.5194120628484542,1.0,0.5770114942528735,0.7923868566792484,0.6474092143926371,0.5914393621485523,0.3609346177495387,0.45562418253160875,0.6805763688760809,0.0,0.7358253591050232,0.6220657276995318,0.7754262385243473,0.6155806650989977,0.7731398456318022,0.41496508049242564,0.8697188336804522,0.6293033949419247,0.6574126463592067,0.5217846270928472,0.7873583237319473,0.482142857142857,0.469951586444207,0.5854451822740216,0.4388974888200896,0.5611025111799113,0.7040165165165164,0.7723491873022801,0.622149076556898,0.1804307116104864
9,Washington Capitals,2,Pittsburgh Penguins,3,5,0.0,0.6571428571428566,0.0,1.0,0.0,0.36363636363636365,1.0,0.9999999999999999,0.8495575221238936,0.0,0.125,0.625,1.0,0.5,0.847826086956522,0.0,0.84375,0.5606060606060606,0.8757346767422334,0.36363636363636376,0.8860759493670889,0.8399661303979675,0.36363636363636365,0.10000000000000003,0.5593220338983051,0.4375,0.47033898305084776,1.0,0.23376623376623362,1.0,1.0,0.5280950016550809,0.6018958719851568,0.8766233766233769,1.0000000000000002,1.0,1.0,1.0,0.7141497116744643,1.0,0.9299788881069668,0.9999999999999999,0.4246031746031746,0.9999999999999999,1.0,1.0,0.5428954423592494,0.8254389288872046,0.7071748562559524,0.8521341052915039,0.4958335831185179,0.46080871372939436,0.7070634459277096,0.743268834911486,0.017543490291378694,0.41625716165371296,0.792704947634526,0.6091362628994306,0.5445799289903834,0.40656355617587736,0.642345935314685,0.670864898267457,0.510052069097783,0.361815236102204,0.6677454965126195,0.6496332236130206,0.29650470011915786,1.0,0.7391245426209512,0.6491228070175441,0.3508771929824577,0.5774428274428274,0.6760117813897677,0.5597856694238244,0.5530898876404491,0.034482758620689655,0.742857142857142,0.0,0.8484848484848484,0.054054054054053946,0.6363636363636364,0.8999999999999999,0.8992974238875878,0.9999999999999998,0.5252525252525251,0.375,0.625,0.8268398268398268,0.5625,1.0,0.5206611570247932,0.9375,0.7424242424242422,0.8841309823677581,0.606060606060606,0.6962025316455698,0.4970364098221838,0.36363636363636365,0.5,0.47457627118644075,0.5,1.0,0.8787878787878785,0.7950937950937949,0.724137931034484,0.22222222222222227,0.5105925190334326,0.9367346938775505,0.21038961038961057,0.6850407978241162,0.6708823529411766,0.6758510976773782,0.7295342226109776,0.30350342726580337,0.6049156008179302,0.6582688247712878,0.7197231833910035,0.31746031746031744,0.5395348837209303,0.6827630729502903,0.7022807906741004,0.3469934890846419,0.48667424529493486,0.4685542388672287,0.20328784482690354,0.4045440920808103,0.39772201563552256,0.14338862706832467,0.4782708933717579,0.36515603570655153,0.5845928193616441,0.8897470846584898,0.12038125028147517,0.30094273271715877,0.21002281663828049,0.4694373167155437,0.6721213924427253,0.28925537048470407,0.10627296844071998,0.5608337015760787,0.6460437823209454,0.47687524290711214,0.4441708194423519,0.5647893542704008,0.5703585339059214,0.4296414660940795,0.20299331589654168,0.2554921756510908,0.30245373551516574,0.48759212274979014
