,Visitor,G,Home,G.1,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%,GSAA,G,A,PTS,PIM
0,Vancouver Canucks,2,Edmonton Oilers,3,5,9,-0.5,-2,-1,2,-3,-5,-0.020000000000000018,1,-1,2,1,0.04000000000000001,-0.009999999999999998,0.10999999999999988,0.07000000000000028,-2,36,-5.350000000000001,11,16,-3.950000000000003,2,-6,1.200000000000001,1.9000000000000004,53,-0.1999999999999993,23,0.0020000000000000018,0,-0.5555555555555429,0.6296296296296298,-1.518518518518519,20.962962962962933,-8.555555555555543,-1.6259259259259338,-2.0000000000000004,14.925925925925924,-11.03703703703701,-2.640740740740739,-3.4629629629629632,-0.6037037037037036,1.2814814814814781,0.6814814814814554,-0.4185185185185105,0.414814814814811,-4.111111111111111,-9.74074074074074,7.629629629629619,5.4764957264957275,58.18020022246941,0.23581757508342704,1.6017797552836512,0.5305895439377091,1.2914349276974413,1.822024471635153,2.240266963292547,4.050055617352612,0.1038932146829814,0.3926585094549502,0.06229143492769729,0.0756395995550612,-0.025583982202447286,1.0656284760845391,0.15016685205784208,0.0756395995550612,6.531701890989993,1.576382488479263,26.790878754171217,3.1946607341490534,-4.361512791991103,12.560622914349274,-1.160177975528363,-0.36722222222222456,-36.0,-8.75,-20.5,-17.75,-9.5,-5.75,-3.0,-51.5,-560.25,-508.75,-0.018999999999999906,1.4125,-0.5,-3.0749999999999993,-1100.0,-7.0,-0.09333333333333332,-4.5,-1.5,3.095,0.0,-0.75,-0.75,-9.5
1,Washington Capitals,3,St. Louis Blues,2,5,3,0.6000000000000014,-2,-1,1,-2,-4,-0.010000000000000009,13,22,2,0,-0.06,0.02,0.2799999999999998,0.3899999999999997,-7,14,-4.82,0,38,3.259999999999991,1,3,2.8999999999999995,2.0999999999999996,27,0.5,-16,-0.01200000000000001,-4,-53.049689440993745,0.5776397515527947,8.41614906832298,160.67391304347825,118.56366459627327,1.987422360248459,0.16040372670807435,113.1521739130435,82.57608695652175,2.309627329192544,0.5130434782608693,0.14083850931677055,-1.0998447204968897,-0.9467391304347643,-2.461024844720498,2.461024844720498,2.7111801242236027,12.754658385093165,41.052795031055894,-7.36473429951689,-53.45519713261643,0.8876941457586618,4.774193548387096,1.5471923536439665,2.014336917562723,3.561529271206691,0.4336917562724012,9.557945041816009,0.25256869772998813,1.5113500597371567,-0.02508960573476693,0.06093189964157705,0.0800477897252092,2.161290322580646,-0.18040621266427737,0.033452807646356025,11.413381123058542,-1.727777777777777,75.53524492234169,7.9964157706093175,16.10394265232975,6.86977299880526,16.08243727598566,-5.791176470588226,50.0,-1.5,0.0,-1.0,-0.5,0.5,-1.0,14.0,-5.5,-19.5,-0.014499999999999957,0.4750000000000001,-2.0,-1.6000000000000005,-66.5,-3.5,-0.08400000000000007,3.0,15.5,-14.495000000000001,0.0,0.0,0.0,1.0
2,Ottawa Senators,3,Toronto Maple Leafs,5,8,18,0.8999999999999986,1,-11,9,3,-19,-0.14199999999999996,-47,16,0,0,-0.91,-0.01,-0.71,0.18000000000000016,-15,16,-8.859999999999998,12,37,-1.6299999999999955,10,-1,2.8999999999999995,2.499999999999999,-128,-1.6000000000000014,151,-0.0010000000000000009,-4,-46.60280970625803,-0.34993614303958864,-8.64878671775223,-197.81098339719028,-110.205619412516,-2.0436781609195407,0.1816091954022997,-148.33971902937418,-96.0191570881226,0.1740740740740776,1.4652618135376756,-2.3823754789272007,-0.7704980842912192,-3.1568326947637644,4.920306513409962,-4.920306513409969,-7.5900383141762475,-8.402298850574713,-42.461047254150714,0.21877394636015168,-70.68304668304671,0.12530712530712762,-3.668304668304664,-2.0466830466830466,-3.6723996723996724,-5.719082719082721,-5.099099099099099,3.695331695331694,-0.799590499590499,-1.747747747747748,-0.5528255528255527,0.2538902538902539,-0.41195741195741187,-2.8067158067158076,-1.1498771498771498,0.2841932841932842,-11.000819000818993,-3.6269451269451247,-62.38165438165436,1.555282555282556,17.486486486486484,-4.832923832923832,0.511875511875509,3.560526315789481,9.5,2.416666666666668,7.5,6.166666666666668,-0.6666666666666661,5.083333333333334,1.75,22.75,235.08333333333337,212.33333333333337,0.016666666666666607,-0.6016666666666666,-1.0,1.1750000000000007,372.91666666666674,3.166666666666666,0.13758333333333328,2.75,-7.333333333333329,0.7216666666666658,0.0,0.3333333333333333,0.3333333333333333,0.0
3,San Jose Sharks,1,Vegas Golden Knights,4,5,22,0.3000000000000007,-1,-10,12,-3,-23,-0.15599999999999997,-44,16,-1,-1,-0.83,0.03,-0.5800000000000001,0.27,-9,-2,-4.529999999999998,-18,10,9.069999999999993,-2,3,2.3000000000000007,2.1000000000000005,-349,-0.5,58,-0.0050000000000000044,-4,-90.9867374005305,-0.7387267904509258,-9.415119363395227,-204.9376657824934,-94.24403183023878,-5.360610079575608,-1.963925729442971,-166.4005305039788,-72.32758620689657,-7.090981432360749,-2.6323607427055706,-0.9348901098901097,0.381697612732097,-0.5052197802197895,-0.06786206896552471,0.07131034482759446,-7.03846153846154,-3.092838196286472,-45.523872679045084,-3.2310344827586093,-101.3196078431373,-0.3156862745098046,-5.541176470588233,-2.1725490196078434,-2.5352941176470587,-4.707843137254901,-10.531372549019608,2.8176470588235283,-0.9101960784313721,-1.6490196078431376,-0.42941176470588227,-0.09411764705882353,-0.40588235294117647,-1.719607843137255,-0.6882352941176471,-0.12745098039215685,-19.839215686274514,-2.1818181818181817,-94.64509803921567,-4.303921568627448,-16.856862745098034,-15.158823529411762,-12.74313725490196,-12.328070175438604,-21.299999999999997,2.0,22.2,20.3,6.7,13.2,0.8999999999999999,63.8,646.7,582.9,0.01550000000000007,-0.5950000000000002,-0.19999999999999996,3.1099999999999994,1241.0,8.4,0.05874999999999997,4.6,-4.5,-0.35999999999999943,0.0,0.5,0.5,-1.6
4,Arizona Coyotes,1,Anaheim Ducks,2,3,-5,0.3999999999999986,-1,4,-4,-1,7,0.05700000000000005,8,-42,0,3,0.64,-0.02,0.1499999999999999,-0.56,14,30,4.49,-15,-16,5.739999999999995,-5,0,-3.6999999999999993,-1.0999999999999996,114,0.0,-12,0.018000000000000016,3,-73.86413043478262,1.3641304347826093,9.17210144927536,122.93659420289862,136.6702898550725,0.828804347826086,-0.21286231884058004,87.98550724637681,98.71014492753619,0.7014492753623145,-0.30905797101449295,-0.0753623188405772,-1.3311594202898362,-1.4108695652173822,-1.59402173913044,1.59402173913044,2.85144927536232,-0.929347826086957,24.742753623188406,6.533152173913052,-51.9028571428571,0.6799999999999997,13.885714285714286,2.3999999999999995,4.2285714285714295,6.628571428571428,2.6685714285714286,-2.9085714285714275,1.0822857142857147,1.6171428571428565,0.8685714285714284,-0.08571428571428569,0.4342857142857144,2.788571428571429,1.5942857142857143,-0.15428571428571428,28.628571428571426,-2.3342857142857127,230.95999999999992,11.377142857142857,9.519999999999996,21.35428571428571,25.32571428571429,-0.2049999999999983,-5.0,-3.0,0.0,-0.3333333333333357,1.333333333333334,-1.333333333333334,-0.3333333333333335,-14.000000000000007,-4.3333333333332575,9.666666666666629,0.004000000000000115,-0.22666666666666657,1.0,1.4999999999999991,-20.333333333333258,4.0,-0.03366666666666662,-2.333333333333333,-18.83333333333333,15.809999999999999,0.0,-0.3333333333333333,-0.3333333333333333,1.3333333333333335
5,Montreal Canadiens,3,Carolina Hurricanes,4,7,11,1.6999999999999993,3,-7,6,4,-10,-0.09599999999999997,-9,27,-1,1,-0.53,0.03,-0.2599999999999998,0.26000000000000023,-13,-20,-4.59,6,-32,-5.280000000000001,-4,1,-0.8999999999999995,-1.7000000000000002,161,-1.0,214,-0.0030000000000000027,-2,-36.26948051948051,0.08766233766233711,-11.038961038961034,-95.71428571428567,-89.3246753246753,-1.53116883116882,-2.0142857142857142,-84.1753246753247,-80.31168831168827,-2.1262987012987082,-2.7353896103896105,-2.340584415584418,0.5525974025973852,-1.7834415584415524,-0.4594155844155807,0.4594155844155807,-10.555194805194803,-4.038961038961041,-31.25324675324677,-3.21980519480519,-45.103485838779875,0.90087145969499,-7.745098039215691,-1.9193899782135073,-4.603485838779957,-6.522875816993464,-2.8420479302832247,-5.697167755991284,-0.8490196078431373,-0.992374727668845,-0.7331154684095861,-0.19389978213507622,-0.42810457516339884,-2.598039215686275,-1.6198257080610021,-0.3856209150326797,-12.468409586056652,-3.039324618736382,-124.54575163398692,-1.7941176470588225,11.352941176470587,-13.192810457516345,-12.688453159041401,1.0777777777777757,13.149999999999999,-3.1999999999999993,3.4000000000000004,4.15,0.15000000000000036,2.75,1.25,15.049999999999997,151.64999999999998,136.60000000000002,0.02014999999999989,0.03399999999999981,-0.19999999999999996,0.75,247.60000000000002,1.2999999999999998,-0.022499999999999964,0.20000000000000018,1.0,-0.3250000000000002,0.0,0.0,0.0,0.30000000000000004
6,Calgary Flames,3,Colorado Avalanche,5,8,12,0.8999999999999986,0,-6,7,-1,-13,-0.09300000000000008,-32,24,5,0,-0.72,0.01,-0.45999999999999996,0.3500000000000001,-5,-48,2.1499999999999986,-4,-14,0.7099999999999937,-2,3,0.3000000000000007,-1.5,-45,-1.3000000000000007,78,-0.007000000000000006,0,21.242816091954012,0.7341954022988482,7.179597701149426,114.81034482758616,130.40229885057477,-1.1147988505747009,-0.8133620689655172,94.29597701149419,118.18390804597698,-1.472413793103442,-0.5854885057471264,-1.1109195402298857,-0.44094827586205554,-1.5380747126436773,0.9627873563218401,-0.9627873563218401,4.807471264367816,12.790229885057471,22.561781609195407,2.400000000000013,-21.945852534562164,0.9723502304147473,4.354838709677416,-0.32718894009216637,-1.0495391705069128,-1.3767281105990783,-9.547235023041475,1.944700460829491,-0.40599078341013906,-0.2638248847926272,-0.019585253456221308,-0.04377880184331798,-0.25115207373271886,-0.9884792626728096,0.018433179723502224,-0.07949308755760368,6.193548387096769,0.14470046082949217,76.2177419354839,0.2027649769585267,3.8721198156682064,6.701612903225808,8.34792626728111,-5.3683333333333465,40.7,2.8999999999999986,22.0,21.2,9.6,9.5,1.9,64.9,692.8,627.9,-0.0026000000000000467,0.254,1.4,3.670000000000001,1271.3,10.5,0.09220000000000006,2.5,7.0,-8.184999999999999,0.0,0.5,0.5,13.1
7,Boston Bruins,2,Dallas Stars,1,3,-9,-0.29999999999999716,1,7,-10,4,18,0.12,49,-7,-2,4,0.65,-0.07,0.6600000000000001,-0.1299999999999999,15,27,4.109999999999999,-10,-2,4.469999999999999,0,3,1.5,3.0999999999999996,134,1.6999999999999993,-74,0.0010000000000000009,6,-6.043010752688133,-1.1397849462365564,-8.193548387096776,-105.20669056152929,-132.62485065710877,-2.8684587813620226,-3.4935483870967747,-63.55555555555554,-87.42293906810033,-1.7857825567502985,-2.4900836320191155,2.0669220945083033,-0.40334528076465404,2.1932311621966676,0.9186379928315347,-0.9223416965352342,-3.5149342891278366,-8.219832735961766,-23.20669056152927,-4.3314814814814895,-11.140740740740739,-1.076190476190476,-10.028571428571432,-0.1068783068783068,0.11640211640211717,0.00952380952380949,4.432804232804233,-1.2338624338624342,0.0644444444444443,-0.13756613756613767,0.07301587301587298,-0.042328042328042326,-0.03915343915343916,0.14708994708994716,0.08571428571428585,-0.1164021164021164,-14.05925925925925,-1.7722819593787351,-164.81164021164022,-12.728042328042328,-9.848677248677248,-18.8952380952381,-15.610582010582007,-2.731666666666669,23.5,0.0,-1.0,0.5,3.5,-5.0,2.0,-3.5,-37.0,-33.5,-0.0010000000000000009,-0.10500000000000043,3.0,-0.20000000000000018,42.0,0.0,-0.02749999999999997,-0.5,0.5,0.15500000000000114,0.0,-0.5,-0.5,-3.0
8,Minnesota Wild,2,Nashville Predators,5,7,1,0.29999999999999716,0,0,1,-1,-1,-0.006999999999999895,6,3,-1,0,0.04,0.02,0.0900000000000003,0.040000000000000036,7,-10,4.039999999999999,-4,-7,1.1200000000000045,-3,-2,-0.9000000000000004,-1.0,-210,1.1999999999999993,-42,-0.0040000000000000036,-1,33.77314814814815,0.3425925925925952,4.152777777777779,12.09259259259261,42.203703703703695,-0.3722222222222342,1.3546296296296296,1.9259259259259238,33.046296296296305,-1.3032407407407405,0.8467592592592591,-0.2245370370370363,-0.2708333333333286,-0.4837962962962905,0.00833333333333286,-0.00833333333333286,-1.7083333333333321,-5.773148148148145,0.2129629629629619,-1.4365740740740591,62.471264367816104,-0.08301404853128957,3.172413793103445,0.7982120051085575,1.481481481481481,2.279693486590041,-1.236270753512133,-0.7049808429118762,0.2683269476372927,0.5351213282247764,0.35887611749680715,-0.09578544061302682,0.11877394636015337,0.763729246487868,0.6704980842911876,0.047254150702426556,-1.9016602809706313,-0.06360153256705203,51.28991060025544,0.6794380587484099,1.6219667943805902,-1.5836526181353747,9.462324393358884,-2.1743859649122683,-24.833333333333336,-1.1666666666666679,-13.666666666666668,-11.5,-5.833333333333334,-4.0,-1.6666666666666665,-33.16666666666667,-372.0,-338.83333333333337,-0.00016666666666675933,0.05833333333333357,-1.8333333333333333,-2.1166666666666663,-700.5,-8.166666666666666,-0.05449999999999994,-3.0,4.5,-3.215,-0.5,-0.6666666666666667,-1.1666666666666667,2.0
9,Winnipeg Jets,4,New York Rangers,6,10,-3,0.3000000000000007,1,0,0,1,1,-0.0010000000000000009,-20,-19,2,0,0.020000000000000018,0.019999999999999997,-0.33000000000000007,-0.31000000000000005,-10,-22,-2.4200000000000017,-13,-56,0.20000000000000284,-2,-3,-3.799999999999999,-1.5999999999999996,47,-1.0999999999999996,-66,0.0050000000000000044,3,4.738505747126396,0.9181034482758612,-7.416666666666664,-40.568965517241395,-103.69109195402302,0.27916666666666146,-1.9103448275862067,-43.416666666666686,-57.102011494252906,-1.3716954022988475,-1.663362068965517,-1.7315476190476184,0.9541666666666231,-0.5928571428571416,0.5211206896551914,-0.5211206896551914,-6.15373563218391,-8.586206896551722,-14.300287356321832,-4.15847701149427,-15.41203703703701,1.0543981481481488,-6.729166666666664,-1.9733796296296298,-3.002314814814815,-4.975694444444443,-0.6238425925925926,-12.181712962962962,-0.4923611111111108,-1.2511574074074074,-0.6134259259259258,-0.10879629629629628,-0.27083333333333326,-1.5983796296296298,-1.178240740740741,-0.22569444444444442,-11.118055555555557,0.1765830346475532,-104.93518518518522,-11.576388888888886,-8.118055555555557,-4.504629629629633,-14.469907407407405,-0.3815789473684319,-30.166666666666664,-2.0,13.166666666666668,12.166666666666668,6.166666666666666,4.666666666666666,1.3333333333333333,27.33333333333333,364.0,336.66666666666663,-0.0071666666666665435,0.01833333333333309,2.0,2.666666666666666,734.8333333333333,8.5,-0.03866666666666663,0.16666666666666652,7.833333333333329,5.583333333333333,0.0,0.33333333333333337,0.33333333333333337,-0.6666666666666666
