,Visitor,G,Home,G.1,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%,GSAA,G,A,PTS,PIM
0,St. Louis Blues,4,Colorado Avalanche,1,5,12,1.5,0,-12,7,5,-19,-0.16900000000000004,-30,35,2,2,-1.02,0.14,-0.54,0.6200000000000001,-11,-52,0.5199999999999996,8,-6,-5.269999999999996,5,-2,-0.8000000000000007,-2.9000000000000004,-315,0.10000000000000142,247,-0.007000000000000006,-7,59.048387096774206,1.4494623655913976,2.2451612903225815,-67.47311827956992,97.06236559139785,-9.177956989247349,0.715913978494624,-42.54516129032254,73.47311827956992,-9.339999999999996,0.23301075268817217,0.8536559139784963,-2.797956989247325,-1.9573118279569997,-4.983440860215076,4.983440860215076,-0.024731182795699524,3.8129032258064512,-18.22043010752688,3.488172043010742,53.83333333333337,0.8190476190476197,4.857142857142858,-0.06190476190476257,-0.32380952380952444,-0.38571428571428434,-6.557142857142858,0.6761904761904756,-0.4357142857142866,-0.09047619047619015,-0.1428571428571428,0.17142857142857143,-0.28095238095238095,-0.29047619047619033,-0.2333333333333334,0.2,-1.2761904761904717,2.8313025210084026,84.48095238095237,5.9904761904761905,15.442857142857143,8.185714285714283,4.219047619047615,5.8003267973856225,-16.75,-2.25,15.0,14.0,3.75,6.75,3.5,47.0,475.75,428.75,0.011749999999999927,0.07249999999999979,-1.5,2.45,842.75,5.5,-0.005749999999999977,1.25,23.0,-16.51,0.0,0.0,0.0,3.0
1,Vancouver Canucks,5,Edmonton Oilers,3,8,13,-1.0,0,-12,10,2,-22,-0.197,-35,33,3,1,-1.0,0.18,-0.6299999999999999,0.5899999999999999,-21,-19,-10.169999999999998,10,29,-2.6899999999999977,4,0,2.000000000000001,-0.10000000000000142,-45,-1.8000000000000007,153,-0.010000000000000009,-2,-14.348148148148141,-0.6925925925925931,-7.3962962962962955,-90.75185185185182,-57.38518518518515,-4.110370370370347,-1.1862962962962955,-67.39629629629627,-40.45925925925923,-4.115185185185183,-1.3499999999999996,-0.8595146871008952,-2.3388888888888886,-2.4383141762451856,-3.021111111111118,3.021111111111118,-1.8185185185185198,-6.344444444444443,-20.799999999999997,2.4917989417989332,-33.5,-0.6571428571428584,-7.199999999999999,-2.307142857142857,-4.592857142857143,-6.9,-5.885714285714285,0.31428571428571317,-1.0821428571428573,-1.4642857142857144,-0.9428571428571427,0.1,-0.6785714285714286,-3.0357142857142865,-1.6928571428571426,0.13571428571428573,-13.207142857142856,-0.4490259740259752,-117.70714285714291,-5.607142857142858,-20.342857142857145,-6.321428571428569,-9.657142857142858,4.252631578947366,-47.0,-2.666666666666668,8.333333333333332,9.333333333333332,-0.16666666666666607,8.166666666666668,1.3333333333333335,37.333333333333336,357.83333333333337,320.5,0.005333333333333412,-0.24333333333333362,-0.5,1.65,558.5,2.666666666666666,0.06700000000000006,1.6666666666666665,9.5,-6.115,0.0,-0.8333333333333333,-0.8333333333333333,-2.0
2,Pittsburgh Penguins,3,Philadelphia Flyers,6,9,-12,0.5999999999999979,0,12,-7,-5,19,0.16999999999999993,33,-42,0,-3,1.21,-0.16999999999999998,0.5900000000000003,-0.75,4,-15,4.52,-10,-12,4.3700000000000045,5,-2,-0.9000000000000004,-0.5,-8,2.0,43,0.028000000000000025,2,18.366666666666674,2.0,1.4333333333333336,-10.133333333333326,18.83333333333337,-1.5433333333333366,0.3466666666666667,0.0,13.899999999999977,-0.013333333333328312,0.7933333333333321,2.9001149425287327,1.930000000000021,4.516896551724145,-1.3500000000000014,1.3500000000000014,4.566666666666666,0.6333333333333329,-5.033333333333331,4.620000000000019,5.202651515151501,1.9204545454545467,0.9545454545454533,1.1827651515151514,1.6098484848484844,2.7926136363636367,9.285984848484848,-1.5217803030303028,0.7979166666666668,0.8702651515151514,0.15530303030303028,0.1571969696969697,0.39583333333333337,1.2376893939393936,0.18465909090909083,0.1875,1.3522727272727266,3.208494623655916,13.923295454545439,0.4772727272727266,4.716856060606062,-3.5104166666666643,5.74431818181818,-5.010000000000005,0.3333333333333357,-1.0,-1.0,0.0,4.0,-2.333333333333334,-1.6666666666666665,-13.666666666666664,14.666666666666742,28.333333333333314,0.05400000000000005,-1.59,0.6666666666666667,1.7333333333333334,-3.666666666666515,3.666666666666667,0.31300000000000006,-3.0,-30.0,19.974999999999998,0.0,1.3333333333333335,1.3333333333333335,2.0
3,Chicago Blackhawks,1,Tampa Bay Lightning,5,6,12,-1.3999999999999986,0,-12,8,4,-20,-0.17900000000000005,-21,39,1,0,-0.92,0.14,-0.3700000000000001,0.7000000000000002,-2,-5,-0.509999999999998,6,-32,-7.3300000000000125,0,4,-4.1,-3.2,-57,-0.9000000000000004,305,-0.0050000000000000044,-2,-61.336923076923085,-2.064615384615383,-6.301538461538463,-80.14923076923077,22.673846153846114,-5.141384615384588,1.7466153846153845,-74.44153846153847,8.389230769230778,-5.984153846153845,2.004,-1.753846153846153,0.4484615384615722,-1.2855384615384224,-6.383999999999993,6.383999999999986,2.712307692307691,6.469230769230769,-20.244615384615386,-0.5090769230769325,-57.85504201680675,-1.6554621848739508,-6.281512605042018,-1.7521008403361344,-2.6827731092436986,-4.434873949579833,-7.670168067226891,-10.468487394957984,-0.9787815126050416,-1.4222689075630255,-0.31092436974789917,-0.018907563025210072,-0.6029411764705882,-2.1617647058823533,-0.4957983193277311,-0.02521008403361344,-12.340336134453786,0.7026936026936053,-99.55252100840329,-0.2121848739495782,-12.40126050420168,-13.640756302521012,-6.714285714285715,-0.4243697478991564,-8.0,-4.333333333333332,1.0,0.0,-4.0,2.666666666666667,1.3333333333333335,13.666666666666664,102.33333333333326,88.66666666666669,0.01200000000000001,0.6133333333333337,-0.6666666666666667,0.1333333333333333,11.333333333333258,-1.333333333333334,-0.11499999999999999,1.6666666666666667,-6.0,-6.46,0.0,-0.6666666666666666,-0.6666666666666666,0.0
4,Montreal Canadiens,4,Toronto Maple Leafs,5,9,12,-0.10000000000000142,0,-11,7,4,-18,-0.16099999999999992,-28,17,0,3,-0.74,0.12000000000000001,-0.5,0.31000000000000005,-2,-4,-0.7899999999999991,6,28,0.01999999999999602,6,-5,1.3000000000000007,0.09999999999999964,-5,-1.5999999999999996,21,-0.009000000000000008,-2,-52.120000000000005,0.0,2.280000000000001,61.31999999999999,1.6800000000000068,0.940000000000019,-2.2,24.600000000000023,5.319999999999993,0.048000000000008924,-1.2679999999999998,-2.4686956521739125,-2.6716666666666526,-4.844347826086974,5.455999999999996,-5.451999999999998,-3.4400000000000013,-2.719999999999999,10.559999999999988,-3.85054545454544,-9.797283176593567,0.06896551724138078,4.213166144200628,-0.18808777429467138,-1.2894461859979103,-1.4775339602925808,-5.662486938349008,3.9676071055381392,-0.2727272727272727,-0.4681295715778475,0.06060606060606055,0.219435736677116,-0.23719958202716818,-1.4190177638453507,0.03970741901776398,0.08986415882967608,7.1118077324973825,-1.7096059113300504,70.025078369906,2.131661442006269,24.26123301985371,5.814002089864161,11.231974921630098,1.590073529411761,15.583333333333336,-1.5,4.833333333333332,4.666666666666668,-0.75,3.5,1.9166666666666665,15.916666666666664,134.75,118.83333333333331,-0.020083333333333342,0.5975000000000001,-0.4166666666666667,0.4249999999999994,291.25,2.0,-0.067,0.8333333333333335,4.5,-2.2299999999999995,0.0,-0.25,-0.25,0.6666666666666666
5,San Jose Sharks,4,Arizona Coyotes,3,7,4,0.6999999999999993,0,-3,2,1,-5,-0.043999999999999984,-4,22,2,1,-0.39,0.06,-0.07000000000000028,0.3900000000000001,-15,-22,-6.6899999999999995,4,17,-0.4099999999999966,3,0,1.1999999999999993,-0.7000000000000002,144,-1.1000000000000014,85,-0.007000000000000006,-2,69.09090909090907,-0.18484848484848726,-2.760606060606065,-17.645454545454527,-9.339393939393915,-2.942727272727282,-2.796363636363636,-11.345454545454572,-8.672727272727286,-1.6799999999999997,-1.8233333333333333,0.8339393939393922,-3.3933333333333167,-2.575151515151532,-4.755757575757563,4.755757575757563,2.427272727272726,-0.4575757575757571,-4.596969696969694,4.839696969696973,77.41063644289454,0.0217959895379245,-5.272885789014822,-0.8927637314734089,-1.8962510897994767,-2.789014821272886,0.09677419354838701,-0.6608544027898873,-0.4405405405405405,-0.3644289450741063,-0.5989537925021796,0.07061900610287708,-0.24498692240627717,-1.0052310374891018,-0.999128160418483,0.10810810810810811,-4.153443766346989,-3.02554489973845,-87.10985178727111,-2.5701830863121167,-12.89363557105493,-7.8962510897994775,-7.064516129032256,-10.418947368421051,-15.25,1.0,0.75,0.0,-0.75,0.5,0.25,6.75,22.25,15.5,0.0019999999999998908,0.4674999999999998,-0.5,-0.3500000000000001,4.25,-1.25,-0.06,2.25,11.333333333333343,-6.520000000000001,0.0,0.0,0.0,-0.5
6,Washington Capitals,6,Buffalo Sabres,4,10,-26,3.700000000000003,0,21,-19,-2,40,0.35799999999999993,54,-35,-1,-1,1.39,-0.2,0.9699999999999998,-0.6200000000000001,8,10,3.8599999999999994,-5,23,6.25,-3,3,3.3000000000000007,3.1999999999999993,55,3.0,-277,0.0040000000000000036,4,18.310185185185162,4.032407407407408,6.231481481481477,113.16203703703701,60.175925925925924,4.803240740740755,1.3601851851851854,75.1712962962963,32.11111111111114,4.3648148148148,1.088888888888889,2.376388888888889,0.8523148148147754,3.2449074074073962,7.401851851851859,-7.401851851851859,4.685185185185185,4.074074074074074,28.759259259259252,-4.485953177257542,75.76175548589345,3.1650992685475465,4.075235109717866,2.4221525600835943,4.217345872518285,6.639498432601879,11.657262277951933,7.827586206896552,1.219749216300941,2.1034482758620694,0.4012539184952978,-0.08254963427377221,0.8045977011494254,3.35005224660397,0.9498432601880877,-0.08254963427377221,8.580982236154654,0.5124999999999993,66.69592476489032,4.157784743991641,14.387669801462906,7.2936259143155695,8.260188087774296,-1.9233918128655034,-0.8333333333333357,1.1666666666666679,9.833333333333334,9.333333333333334,9.5,-0.666666666666667,0.5,19.5,220.99999999999994,201.5,0.008666666666666711,-0.9583333333333326,1.3333333333333333,1.4166666666666667,565.5000000000001,4.166666666666666,0.010166666666666768,1.8333333333333333,-2.5,-0.20333333333333314,0.0,0.16666666666666666,0.16666666666666666,0.0
7,Carolina Hurricanes,3,Detroit Red Wings,0,3,-24,-2.1999999999999993,0,17,-15,-2,32,0.285,50,-34,2,-1,1.3599999999999999,-0.2,0.8999999999999999,-0.6099999999999999,25,15,14.2,-7,21,6.52000000000001,7,2,0.10000000000000053,-0.20000000000000018,266,1.6000000000000014,-205,0.009000000000000008,4,88.09294871794873,-1.2083333333333321,4.448717948717949,172.59935897435895,32.826923076923094,6.499038461538454,-1.017628205128205,124.11538461538464,25.81410256410254,5.421474358974358,-1.8830128205128203,-0.9557692307692296,0.8842948717948786,-0.05096153846152163,2.7974358974358964,-2.7974358974358964,5.458333333333334,7.701923076923077,44.33653846153847,-2.644551282051289,35.80990783410141,-1.071428571428573,3.4481566820276512,2.217741935483871,4.2223502304147456,6.440092165898619,8.078341013824886,1.6405529953917064,1.191359447004608,1.0161290322580645,0.9516129032258065,0.25,0.5944700460829493,2.104838709677419,1.8675115207373274,0.25,14.78110599078341,0.967281105990784,57.05760368663596,0.2741935483870961,14.773041474654377,16.76382488479262,7.460829493087559,-7.88070175438596,35.66666666666667,-3.3333333333333357,-2.333333333333332,0.0,5.666666666666667,-5.0,-0.666666666666667,-11.333333333333336,-68.33333333333326,-57.00000000000006,0.020333333333333314,-0.7433333333333341,1.3333333333333335,0.13333333333333375,9.666666666666515,-0.6666666666666679,-0.009000000000000119,-2.3333333333333335,-7.833333333333329,2.256666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0
8,Vancouver Canucks,2,Edmonton Oilers,5,7,13,-1.0,0,-12,10,2,-22,-0.197,-35,33,3,1,-1.0,0.18,-0.6299999999999999,0.5899999999999999,-21,-19,-10.169999999999998,10,29,-2.6899999999999977,4,0,2.000000000000001,-0.10000000000000142,-45,-1.8000000000000007,153,-0.010000000000000009,-2,-14.348148148148141,-0.6925925925925931,-7.3962962962962955,-90.75185185185182,-57.38518518518515,-4.110370370370347,-1.1862962962962955,-67.39629629629627,-40.45925925925923,-4.115185185185183,-1.3499999999999996,-0.8595146871008952,-2.3388888888888886,-2.4383141762451856,-3.021111111111118,3.021111111111118,-1.8185185185185198,-6.344444444444443,-20.799999999999997,2.4917989417989332,-33.5,-0.6571428571428584,-7.199999999999999,-2.307142857142857,-4.592857142857143,-6.9,-5.885714285714285,0.31428571428571317,-1.0821428571428573,-1.4642857142857144,-0.9428571428571427,0.1,-0.6785714285714286,-3.0357142857142865,-1.6928571428571426,0.13571428571428573,-13.207142857142856,-0.4490259740259752,-117.70714285714291,-5.607142857142858,-20.342857142857145,-6.321428571428569,-9.657142857142858,4.252631578947366,-47.0,-2.666666666666668,8.333333333333332,9.333333333333332,-0.16666666666666607,8.166666666666668,1.3333333333333335,37.333333333333336,357.83333333333337,320.5,0.005333333333333412,-0.24333333333333362,-0.5,1.65,558.5,2.666666666666666,0.06700000000000006,1.6666666666666665,9.5,-6.115,0.0,-0.8333333333333333,-0.8333333333333333,-2.0
9,Minnesota Wild,4,Los Angeles Kings,3,7,-16,1.8000000000000007,0,14,-12,-2,26,0.23200000000000004,38,-10,0,0,0.75,-0.11,0.6699999999999999,-0.18000000000000016,-3,-4,-1.3500000000000014,5,2,-2.9000000000000057,-1,0,1.8000000000000007,0.9000000000000004,-2,2.5,-41,0.0040000000000000036,2,14.21296296296299,3.49338624338624,2.1891534391534435,10.093915343915342,33.52380952380952,-0.3958994708994652,-0.7654761904761906,10.173280423280403,15.731481481481467,1.3222222222222229,0.14351851851851904,1.5924603174603185,0.44272486772489117,2.0460317460317583,-5.740873015873014,5.740873015873014,5.493386243386244,0.32539682539682424,8.353174603174594,5.825925925925922,17.501077586206918,3.3125,3.2586206896551744,1.769396551724138,2.693965517241379,4.463362068965516,9.011853448275861,5.046336206896552,0.7504310344827587,1.794181034482759,0.0,-0.02478448275862069,0.5474137931034482,2.800646551724139,-0.016163793103448176,-0.09051724137931035,5.061422413793103,-2.169195402298847,54.20258620689651,5.135775862068964,0.13254310344827758,5.154094827586206,14.137931034482762,-6.725555555555552,9.5,-2.166666666666668,8.833333333333332,9.333333333333332,10.5,-1.333333333333334,0.16666666666666652,23.333333333333336,270.66666666666663,247.33333333333337,-0.0018333333333333535,-0.16166666666666663,1.3333333333333335,1.7500000000000004,569.1666666666667,6.5,0.050499999999999934,0.16666666666666652,-3.5,2.295,0.0,-0.3333333333333333,-0.3333333333333333,1.0
