,Date,Visitor,Home,Att.,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,E+/-,SAtt,Thru%,Rk,Age,GP,G.1.1,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%
10,44210,Boston Bruins,New Jersey Devils,,5,-19,2.8,0,14,-14,0,28,0.25,19,-55,4,-3,1.27,-0.18,0.34,-0.99,13,5,7.69,-18,30,15.01,6,1,2.8,2.1,254,-0.2,-221,0.021,3,-25.49255583,2.996277916,-2.951612903,-17.39702233,-69.93920596,3.02369727,-0.044540943,1.311414392,-63.48635236,4.605955335,-0.255334988,-3.137333333,1.729900744,-1.262666667,4.938709677,-4.935483871,-1.913151365,-6.318858561,3.93808933,-0.318858561,1.932666667,-59.48263889,1.975694444,-3.5,0.024305556,-0.041666667,-0.017361111,6.732638889,3.819444444,0.560416667,-0.416666667,0.284722222,0.15625,0.211805556,-0.6875,0.486111111,0.159722222,1.430555556,-1.746267281,-60.37152778,-0.940972222,8.986111111,2.357638889,-13.70486111,7.928571429
11,44210,Columbus Blue Jackets,Nashville Predators,,4,15,-1.4,0,-13,3,10,-16,-0.142,-17,30,-2,3,-0.81,0.11,-0.31,0.54,-10,-42,-2.23,-14,-39,3.37,0,0,-2.2,-1.5,-54,-0.8,62,-0.013,-3,11.31385281,-0.369047619,0.617965368,-4.213203463,39.12121212,-1.39025974,3.094480519,-8.606060606,29.72619048,-2.298701299,2.914069264,-0.775324675,-0.906926407,-1.689935065,1.677380952,-1.677380952,1.829004329,1.510822511,-2.352597403,-5.292207792,-0.149107143,5.915151515,-0.366233766,1.745454545,-0.253679654,0.351515152,0.097835498,-7.008658009,-3.164502165,-0.402683983,-0.00952381,-0.254545455,0.01038961,-0.288311688,0.851948052,-0.510822511,0.01038961,1.270995671,1.203030303,32.51948052,2.85021645,4.378354978,-4.483982684,7.27012987,-0.832631579
12,44210,New York Islanders,New York Rangers,,4,-5,3.4,0,5,-6,1,11,0.098,-24,-30,3,1,0.13,-0.01,-0.43,-0.54,-10,-35,-1.92,-8,-34,1.45,-4,-4,-3.5,-4.2,16,-1.6,-74,0.014,5,-56.29103448,3.002758621,5.310344828,82.48689655,57.64,2.611310345,-1.23337931,58.04275862,34.05517241,2.728137931,-1.625103448,-1.275862069,0.555586207,-0.747724138,0.701793103,-0.701793103,-2.846896552,0.388965517,6.242068966,14.11310345,-2.750758621,-43.03571429,3.607142857,2.4,-0.438095238,-1.276190476,-1.714285714,1.54047619,-5.438095238,0.121428571,-0.045238095,-0.269047619,-0.123809524,0.133333333,-0.466666667,-0.580952381,-0.228571429,4.464285714,-1.268095238,44.62857143,2.964285714,9.030952381,8.633333333,-5.357142857,6.166959064
13,44210,Anaheim Ducks,Vegas Golden Knights,,7,29,-1,0,-23,16,7,-39,-0.348,-66,55,1,0,-1.88,0.27,-1.18,0.98,-20,-51,-8.88,14,20,-6.93,-2,3,1.6,-0.6,-329,-2.1,185,-0.023,-3,-106.1668966,-0.609655172,-8.096551724,-176.7296552,-92.26482759,-4.507172414,0.593793103,-123.3075862,-50.46206897,-5.744275862,0.260965517,-1.203310345,-1.812827586,-3.005241379,-6.956275862,6.956275862,-5.794482759,1.444137931,-5.611172414,-45.43586207,-1.424275862,-110.3344988,-0.749417249,-7.723776224,-3.55011655,-6.46969697,-10.01981352,-14.75174825,-0.058275058,-1.85,-2.597902098,-0.858974359,-0.093240093,-1.045454545,-4.773892774,-1.641025641,-0.054778555,-24.89160839,-1.96013986,-136.1899767,-10.12004662,-7.755244755,-10.86480186,-13.95804196,5.613333333
14,44210,Calgary Flames,Winnipeg Jets,,7,6,0.3,0,-4,4,0,-8,-0.072,-15,8,1,-1,-0.33,0.05,-0.27,0.15,-5,14,-4.69,5,23,-0.31,-1,4,0.8,0.5,28,-1,-136,-0.012,-1,29.54761905,0.083333333,-5.273809524,-28.33928571,-112.2380952,5.132738095,1.086309524,-18.25595238,-79.17261905,5.060119048,1.35297619,0.119642857,-0.073809524,0.026190476,6.877380952,-6.877380952,0.80952381,1.267857143,6.672619048,-10.24404762,-2.321428571,46.0945083,0.099616858,-2.574712644,-0.95146871,-1.578544061,-2.530012771,-1.914431673,0.75734355,-0.385951469,-0.642401022,-0.266922095,-0.042145594,-0.249042146,-0.830140485,-0.669220945,-0.079182631,-3.277139208,-0.518263091,-44.74968072,-5.062579821,-7.625798212,-2.121328225,-1.017879949,-12.6875
15,44211,Washington Capitals,Buffalo Sabres,,3,-26,3.7,0,21,-19,-2,40,0.358,54,-35,-1,-1,1.39,-0.2,0.97,-0.62,8,10,3.86,-5,23,6.25,-3,3,3.3,3.2,55,3,-277,0.004,4,18.31018519,4.032407407,6.231481481,113.162037,60.17592593,4.803240741,1.360185185,75.1712963,32.11111111,4.364814815,1.088888889,2.376388889,0.852314815,3.244907407,7.401851852,-7.401851852,4.685185185,4.074074074,4.223148148,28.75925926,-4.485953177,75.76175549,3.165099269,4.07523511,2.42215256,4.217345873,6.639498433,11.65726228,7.827586207,1.219749216,2.103448276,0.401253918,-0.082549634,0.804597701,3.350052247,0.94984326,-0.082549634,8.580982236,0.5125,66.69592476,4.157784744,14.3876698,7.293625914,8.260188088,-1.923391813
16,44211,St. Louis Blues,Colorado Avalanche,,8,12,1.5,0,-12,7,5,-19,-0.169,-30,35,2,2,-1.02,0.14,-0.54,0.62,-11,-52,0.52,8,-6,-5.27,5,-2,-0.8,-2.9,-315,0.1,247,-0.007,-7,59.0483871,1.449462366,2.24516129,-67.47311828,97.06236559,-9.177956989,0.715913978,-42.54516129,73.47311828,-9.34,0.233010753,0.853655914,-2.797956989,-1.957311828,-4.98344086,4.98344086,-0.024731183,3.812903226,-8.867956989,-18.22043011,3.488172043,53.83333333,0.819047619,4.857142857,-0.061904762,-0.323809524,-0.385714286,-6.557142857,0.676190476,-0.435714286,-0.09047619,-0.142857143,0.171428571,-0.280952381,-0.29047619,-0.233333333,0.2,-1.276190476,2.831302521,84.48095238,5.99047619,15.44285714,8.185714286,4.219047619,5.800326797
17,44211,Toronto Maple Leafs,Ottawa Senators,,8,-17,2.9,0,12,-14,2,26,0.233,31,-41,-1,-1,1.11,-0.18,0.55,-0.74,4,-19,4.48,-5,-27,-0.48,-4,2,-2.1,-2.1,88,1.3,-241,0.01,1,69.85,2.161428571,6.062857143,93.53142857,43.02142857,3.591142857,0.672285714,76.87714286,30.21571429,4.668428571,1.507714286,-0.480590062,0.891666667,0.115062112,11.76614286,-11.76614286,3.095714286,7.844285714,9.083928571,22.97142857,5.09025974,47.48321048,1.756756757,3.302211302,1.447174447,3.367731368,4.814905815,9.3996724,-1.917280917,0.875429975,1.335790336,0.20966421,-0.098280098,0.462735463,2.995904996,0.40950041,-0.037674038,8.114660115,-1.5836714,55.72235872,-0.356265356,-11.25470925,6.448812449,0.100737101,8.077540107
18,44211,Pittsburgh Penguins,Philadelphia Flyers,,7,-12,0.6,0,12,-7,-5,19,0.17,33,-42,0,-3,1.21,-0.17,0.59,-0.75,4,-15,4.52,-10,-12,4.37,5,-2,-0.9,-0.5,-8,2,43,0.028,2,18.36666667,2,1.433333333,-10.13333333,18.83333333,-1.543333333,0.346666667,0,13.9,-0.013333333,0.793333333,2.900114943,1.93,4.516896552,-1.35,1.35,4.566666667,0.633333333,-0.513333333,-5.033333333,4.62,5.202651515,1.920454545,0.954545455,1.182765152,1.609848485,2.792613636,9.285984848,-1.521780303,0.797916667,0.870265152,0.15530303,0.15719697,0.395833333,1.237689394,0.184659091,0.1875,1.352272727,3.208494624,13.92329545,0.477272727,4.716856061,-3.510416667,5.744318182,-5.01
19,44211,Chicago Blackhawks,Tampa Bay Lightning,,7,12,-1.4,0,-12,8,4,-20,-0.179,-21,39,1,0,-0.92,0.14,-0.37,0.7,-2,-5,-0.51,6,-32,-7.33,0,4,-4.1,-3.2,-57,-0.9,305,-0.005,-2,-61.33692308,-2.064615385,-6.301538462,-80.14923077,22.67384615,-5.141384615,1.746615385,-74.44153846,8.389230769,-5.984153846,2.004,-1.753846154,0.448461538,-1.285538462,-6.384,6.384,2.712307692,6.469230769,-4.653846154,-20.24461538,-0.509076923,-57.85504202,-1.655462185,-6.281512605,-1.75210084,-2.682773109,-4.43487395,-7.670168067,-10.46848739,-0.978781513,-1.422268908,-0.31092437,-0.018907563,-0.602941176,-2.161764706,-0.495798319,-0.025210084,-12.34033613,0.702693603,-99.55252101,-0.212184874,-12.4012605,-13.6407563,-6.714285714,-0.424369748
20,44212,San Jose Sharks,Arizona Coyotes,2384,8,4,0.7,0,-3,2,1,-5,-0.044,-4,22,2,1,-0.39,0.06,-0.07,0.39,-15,-22,-6.69,4,17,-0.41,3,0,1.2,-0.7,144,-1.1,85,-0.007,-2,69.09090909,-0.184848485,-2.760606061,-17.64545455,-9.339393939,-2.942727273,-2.796363636,-11.34545455,-8.672727273,-1.68,-1.823333333,0.833939394,-3.393333333,-2.575151515,-4.755757576,4.755757576,2.427272727,-0.457575758,3.377575758,-4.596969697,4.83969697,77.41063644,0.02179599,-5.272885789,-0.892763731,-1.89625109,-2.789014821,0.096774194,-0.660854403,-0.440540541,-0.364428945,-0.598953793,0.070619006,-0.244986922,-1.005231037,-0.99912816,0.108108108,-4.153443766,-3.0255449,-87.10985179,-2.570183086,-12.89363557,-7.89625109,-7.064516129,-10.41894737
21,44212,Vancouver Canucks,Calgary Flames,,3,3,-0.9,0,-3,2,1,-5,-0.045,-7,27,2,0,-0.48,0.09,-0.13,0.48,-5,-20,-0.87,3,11,-0.45,4,-3,1.8,-0.2,-60,-0.1,293,0.001,-3,-87.16428571,-0.85,-5.076190476,-82.18571429,20.37142857,-8.435238095,-1.388809524,-63.05238095,8.514285714,-7.560952381,-1.323809524,-1.103694581,-2.942857143,-3.275615764,-9.029047619,9.029047619,-2.192857143,-6.126190476,-5.842619048,-18.26428571,4.692857143,-97.2955665,-0.598029557,-5.95862069,-1.116256158,-2.796059113,-3.912315271,-3.944827586,-0.104433498,-0.596059113,-0.886699507,-0.332019704,0.102463054,-0.290640394,-2.349753695,-0.548768473,0.102463054,-11.69852217,-1.04200627,-96.79211823,-0.344827586,-10.07684729,-5.852216749,-10.18423645,11.3
22,44212,Carolina Hurricanes,Detroit Red Wings,,6,-24,-2.2,0,17,-15,-2,32,0.285,50,-34,2,-1,1.36,-0.2,0.9,-0.61,25,15,14.2,-7,21,6.52,7,2,0.1,-0.2,266,1.6,-205,0.009,4,88.09294872,-1.208333333,4.448717949,172.599359,32.82692308,6.499038462,-1.017628205,124.1153846,25.81410256,5.421474359,-1.883012821,-0.955769231,0.884294872,-0.050961538,2.797435897,-2.797435897,5.458333333,7.701923077,4.677884615,44.33653846,-2.644551282,35.80990783,-1.071428571,3.448156682,2.217741935,4.22235023,6.440092166,8.078341014,1.640552995,1.191359447,1.016129032,0.951612903,0.25,0.594470046,2.10483871,1.867511521,0.25,14.78110599,0.967281106,57.05760369,0.274193548,14.77304147,16.76382488,7.460829493,-7.880701754
23,44212,Montreal Canadiens,Edmonton Oilers,,6,7,0.2,0,-11,2,9,-13,-0.116,-25,11,1,3,-0.58,0.1,-0.45,0.2,-19,-23,-8.38,10,18,-3.98,7,-2,0.5,-0.8,72,-1.9,-138,-0.014,-2,-30.66814815,0.247407407,1.237037037,81.42814815,-22.30518519,6.120296296,0.77837037,47.49037037,-13.25925926,4.701481481,0.770666667,-1.322962963,-0.968888889,-2.295555556,6.762222222,-6.758222222,-2.398518519,2.048888889,3.395259259,15.96,-4.02562963,-13.75615764,0.354679803,-1.24137931,-1.087438424,-2.245073892,-3.332512315,-1.251231527,0.625615764,-0.496428571,-0.612068966,-0.714285714,0.238916256,-0.456896552,-1.099753695,-1.350985222,0.205665025,0.422413793,-1.282142857,-17.32881773,-5.020935961,3.9408867,-1.641625616,2.699507389,0.983881579
24,44212,Minnesota Wild,Los Angeles Kings,,7,-16,1.8,0,14,-12,-2,26,0.232,38,-10,0,0,0.75,-0.11,0.67,-0.18,-3,-4,-1.35,5,2,-2.9,-1,0,1.8,0.9,-2,2.5,-41,0.004,2,14.21296296,3.493386243,2.189153439,10.09391534,33.52380952,-0.395899471,-0.76547619,10.17328042,15.73148148,1.322222222,0.143518519,1.592460317,0.442724868,2.046031746,-5.740873016,5.740873016,5.493386243,0.325396825,4.08452381,8.353174603,5.825925926,17.50107759,3.3125,3.25862069,1.769396552,2.693965517,4.463362069,9.011853448,5.046336207,0.750431034,1.794181034,0,-0.024784483,0.547413793,2.800646552,-0.016163793,-0.090517241,5.061422414,-2.169195402,54.20258621,5.135775862,0.132543103,5.154094828,14.13793103,-6.725555556
25,44212,Boston Bruins,New Jersey Devils,,3,-19,2.8,0,14,-14,0,28,0.25,19,-55,4,-3,1.27,-0.18,0.34,-0.99,13,5,7.69,-18,30,15.01,6,1,2.8,2.1,254,-0.2,-221,0.021,3,-25.49255583,2.996277916,-2.951612903,-17.39702233,-69.93920596,3.02369727,-0.044540943,1.311414392,-63.48635236,4.605955335,-0.255334988,-3.137333333,1.729900744,-1.262666667,4.938709677,-4.935483871,-1.913151365,-6.318858561,3.93808933,-0.318858561,1.932666667,-59.48263889,1.975694444,-3.5,0.024305556,-0.041666667,-0.017361111,6.732638889,3.819444444,0.560416667,-0.416666667,0.284722222,0.15625,0.211805556,-0.6875,0.486111111,0.159722222,1.430555556,-1.746267281,-60.37152778,-0.940972222,8.986111111,2.357638889,-13.70486111,7.928571429
26,44212,Columbus Blue Jackets,Nashville Predators,,7,15,-1.4,0,-13,3,10,-16,-0.142,-17,30,-2,3,-0.81,0.11,-0.31,0.54,-10,-42,-2.23,-14,-39,3.37,0,0,-2.2,-1.5,-54,-0.8,62,-0.013,-3,11.31385281,-0.369047619,0.617965368,-4.213203463,39.12121212,-1.39025974,3.094480519,-8.606060606,29.72619048,-2.298701299,2.914069264,-0.775324675,-0.906926407,-1.689935065,1.677380952,-1.677380952,1.829004329,1.510822511,-2.352597403,-5.292207792,-0.149107143,5.915151515,-0.366233766,1.745454545,-0.253679654,0.351515152,0.097835498,-7.008658009,-3.164502165,-0.402683983,-0.00952381,-0.254545455,0.01038961,-0.288311688,0.851948052,-0.510822511,0.01038961,1.270995671,1.203030303,32.51948052,2.85021645,4.378354978,-4.483982684,7.27012987,-0.832631579
27,44212,New York Islanders,New York Rangers,,5,-5,3.4,0,5,-6,1,11,0.098,-24,-30,3,1,0.13,-0.01,-0.43,-0.54,-10,-35,-1.92,-8,-34,1.45,-4,-4,-3.5,-4.2,16,-1.6,-74,0.014,5,-56.29103448,3.002758621,5.310344828,82.48689655,57.64,2.611310345,-1.23337931,58.04275862,34.05517241,2.728137931,-1.625103448,-1.275862069,0.555586207,-0.747724138,0.701793103,-0.701793103,-2.846896552,0.388965517,6.242068966,14.11310345,-2.750758621,-43.03571429,3.607142857,2.4,-0.438095238,-1.276190476,-1.714285714,1.54047619,-5.438095238,0.121428571,-0.045238095,-0.269047619,-0.123809524,0.133333333,-0.466666667,-0.580952381,-0.228571429,4.464285714,-1.268095238,44.62857143,2.964285714,9.030952381,8.633333333,-5.357142857,6.166959064
28,44212,Toronto Maple Leafs,Ottawa Senators,,5,-17,2.9,0,12,-14,2,26,0.233,31,-41,-1,-1,1.11,-0.18,0.55,-0.74,4,-19,4.48,-5,-27,-0.48,-4,2,-2.1,-2.1,88,1.3,-241,0.01,1,69.85,2.161428571,6.062857143,93.53142857,43.02142857,3.591142857,0.672285714,76.87714286,30.21571429,4.668428571,1.507714286,-0.480590062,0.891666667,0.115062112,11.76614286,-11.76614286,3.095714286,7.844285714,9.083928571,22.97142857,5.09025974,47.48321048,1.756756757,3.302211302,1.447174447,3.367731368,4.814905815,9.3996724,-1.917280917,0.875429975,1.335790336,0.20966421,-0.098280098,0.462735463,2.995904996,0.40950041,-0.037674038,8.114660115,-1.5836714,55.72235872,-0.356265356,-11.25470925,6.448812449,0.100737101,8.077540107
29,44212,Anaheim Ducks,Vegas Golden Knights,,3,29,-1,0,-23,16,7,-39,-0.348,-66,55,1,0,-1.88,0.27,-1.18,0.98,-20,-51,-8.88,14,20,-6.93,-2,3,1.6,-0.6,-329,-2.1,185,-0.023,-3,-106.1668966,-0.609655172,-8.096551724,-176.7296552,-92.26482759,-4.507172414,0.593793103,-123.3075862,-50.46206897,-5.744275862,0.260965517,-1.203310345,-1.812827586,-3.005241379,-6.956275862,6.956275862,-5.794482759,1.444137931,-5.611172414,-45.43586207,-1.424275862,-110.3344988,-0.749417249,-7.723776224,-3.55011655,-6.46969697,-10.01981352,-14.75174825,-0.058275058,-1.85,-2.597902098,-0.858974359,-0.093240093,-1.045454545,-4.773892774,-1.641025641,-0.054778555,-24.89160839,-1.96013986,-136.1899767,-10.12004662,-7.755244755,-10.86480186,-13.95804196,5.613333333
30,44213,Chicago Blackhawks,Florida Panthers,4147,7,16,-1.1,0,-13,11,2,-24,-0.214,-29,33,1,0,-0.95,0.14,-0.52,0.59,-1,-15,1.18,1,-17,-2.94,-1,3,-3.5,-3.1,-319,0.1,206,-0.007,1,-67.73076923,-1.384615385,-3.346153846,-81.5,40.38461538,-5.915384615,2.146153846,-82.5,21.38461538,-7.215384615,2.076923077,-0.629846154,-0.230769231,-0.521538462,-4.453846154,4.453846154,-3.076923077,0.538461538,-7.988461538,-21.11538462,-1.973076923,-45.87344029,-0.85026738,-0.898395722,-1.020499109,-1.510695187,-2.531194296,-8.266488414,-6.556149733,-0.68083779,-0.923351159,-0.064171123,-0.032976827,-0.443850267,-1.351158645,-0.15597148,-0.003565062,-11.12388592,1.925378788,-12.98217469,4.126559715,-6.415329768,-8.312834225,-1.272727273,-3.176984127
31,44213,Washington Capitals,Pittsburgh Penguins,,7,-2,2.2,0,-1,-1,2,0,0,-5,6,0,1,-0.18,0.03,-0.09,0.11,2,1,1.16,-9,7,6.53,-4,4,2.3,2.1,-37,-0.1,-67,-0.008,-1,8.991666667,2.125,4.45,78.25833333,84.35,1.475833333,2.338333333,55.10833333,65.96666667,1.796666667,3.406666667,-0.382614943,-0.339166667,-0.402729885,5.03,-5.03,0.533333333,0.966666667,1.891666667,17.6,3.24173913,69.34698276,1.487068966,3.120689655,0.451508621,0.668103448,1.119612069,-3.265086207,6.046336207,0.106681034,0.384698276,0.185344828,-0.118534483,0.075431034,0.294181034,0.492456897,-0.118534483,4.168103448,-1.97016129,52.77262931,2.801724138,3.792025862,4.016163793,4.334051724,5.296052632
