,Date,Visitor,Home,Att.,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,E+/-,SAtt,Thru%,Rk,Age,GP,G.1.1,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%
0,44209,St. Louis Blues,Colorado Avalanche,,5,12,1.5,0,-12,7,5,-19,-0.169,-30,35,2,2,-1.02,0.14,-0.54,0.62,-11,-52,0.52,8,-6,-5.27,5,-2,-0.8,-2.9,-315,0.1,247,-0.007,-7,59.0483871,1.449462366,2.24516129,-67.47311828,97.06236559,-9.177956989,0.715913978,-42.54516129,73.47311828,-9.34,0.233010753,0.853655914,-2.797956989,-1.957311828,-4.98344086,4.98344086,-0.024731183,3.812903226,-8.867956989,-18.22043011,3.488172043,53.83333333,0.819047619,4.857142857,-0.061904762,-0.323809524,-0.385714286,-6.557142857,0.676190476,-0.435714286,-0.09047619,-0.142857143,0.171428571,-0.280952381,-0.29047619,-0.233333333,0.2,-1.276190476,2.831302521,84.48095238,5.99047619,15.44285714,8.185714286,4.219047619,5.800326797
1,44209,Vancouver Canucks,Edmonton Oilers,,8,13,-1,0,-12,10,2,-22,-0.197,-35,33,3,1,-1,0.18,-0.63,0.59,-21,-19,-10.17,10,29,-2.69,4,0,2,-0.1,-45,-1.8,153,-0.01,-2,-14.34814815,-0.692592593,-7.396296296,-90.75185185,-57.38518519,-4.11037037,-1.186296296,-67.3962963,-40.45925926,-4.115185185,-1.35,-0.859514687,-2.338888889,-2.438314176,-3.021111111,3.021111111,-1.818518519,-6.344444444,-3.394074074,-20.8,2.491798942,-33.5,-0.657142857,-7.2,-2.307142857,-4.592857143,-6.9,-5.885714286,0.314285714,-1.082142857,-1.464285714,-0.942857143,0.1,-0.678571429,-3.035714286,-1.692857143,0.135714286,-13.20714286,-0.449025974,-117.7071429,-5.607142857,-20.34285714,-6.321428571,-9.657142857,4.252631579
2,44209,Pittsburgh Penguins,Philadelphia Flyers,,9,-12,0.6,0,12,-7,-5,19,0.17,33,-42,0,-3,1.21,-0.17,0.59,-0.75,4,-15,4.52,-10,-12,4.37,5,-2,-0.9,-0.5,-8,2,43,0.028,2,18.36666667,2,1.433333333,-10.13333333,18.83333333,-1.543333333,0.346666667,0,13.9,-0.013333333,0.793333333,2.900114943,1.93,4.516896552,-1.35,1.35,4.566666667,0.633333333,-0.513333333,-5.033333333,4.62,5.202651515,1.920454545,0.954545455,1.182765152,1.609848485,2.792613636,9.285984848,-1.521780303,0.797916667,0.870265152,0.15530303,0.15719697,0.395833333,1.237689394,0.184659091,0.1875,1.352272727,3.208494624,13.92329545,0.477272727,4.716856061,-3.510416667,5.744318182,-5.01
3,44209,Chicago Blackhawks,Tampa Bay Lightning,,6,12,-1.4,0,-12,8,4,-20,-0.179,-21,39,1,0,-0.92,0.14,-0.37,0.7,-2,-5,-0.51,6,-32,-7.33,0,4,-4.1,-3.2,-57,-0.9,305,-0.005,-2,-61.33692308,-2.064615385,-6.301538462,-80.14923077,22.67384615,-5.141384615,1.746615385,-74.44153846,8.389230769,-5.984153846,2.004,-1.753846154,0.448461538,-1.285538462,-6.384,6.384,2.712307692,6.469230769,-4.653846154,-20.24461538,-0.509076923,-57.85504202,-1.655462185,-6.281512605,-1.75210084,-2.682773109,-4.43487395,-7.670168067,-10.46848739,-0.978781513,-1.422268908,-0.31092437,-0.018907563,-0.602941176,-2.161764706,-0.495798319,-0.025210084,-12.34033613,0.702693603,-99.55252101,-0.212184874,-12.4012605,-13.6407563,-6.714285714,-0.424369748
4,44209,Montreal Canadiens,Toronto Maple Leafs,,9,12,-0.1,0,-11,7,4,-18,-0.161,-28,17,0,3,-0.74,0.12,-0.5,0.31,-2,-4,-0.79,6,28,0.02,6,-5,1.3,0.1,-5,-1.6,21,-0.009,-2,-52.12,0,2.28,61.32,1.68,0.94,-2.2,24.6,5.32,0.048,-1.268,-2.468695652,-2.671666667,-4.844347826,5.456,-5.452,-3.44,-2.72,-3.3265,10.56,-3.850545455,-9.797283177,0.068965517,4.213166144,-0.188087774,-1.289446186,-1.47753396,-5.662486938,3.967607106,-0.272727273,-0.468129572,0.060606061,0.219435737,-0.237199582,-1.419017764,0.039707419,0.089864159,7.111807732,-1.709605911,70.02507837,2.131661442,24.26123302,5.81400209,11.23197492,1.590073529
5,44210,San Jose Sharks,Arizona Coyotes,2274,7,4,0.7,0,-3,2,1,-5,-0.044,-4,22,2,1,-0.39,0.06,-0.07,0.39,-15,-22,-6.69,4,17,-0.41,3,0,1.2,-0.7,144,-1.1,85,-0.007,-2,69.09090909,-0.184848485,-2.760606061,-17.64545455,-9.339393939,-2.942727273,-2.796363636,-11.34545455,-8.672727273,-1.68,-1.823333333,0.833939394,-3.393333333,-2.575151515,-4.755757576,4.755757576,2.427272727,-0.457575758,3.377575758,-4.596969697,4.83969697,77.41063644,0.02179599,-5.272885789,-0.892763731,-1.89625109,-2.789014821,0.096774194,-0.660854403,-0.440540541,-0.364428945,-0.598953793,0.070619006,-0.244986922,-1.005231037,-0.99912816,0.108108108,-4.153443766,-3.0255449,-87.10985179,-2.570183086,-12.89363557,-7.89625109,-7.064516129,-10.41894737
6,44210,Washington Capitals,Buffalo Sabres,,10,-26,3.7,0,21,-19,-2,40,0.358,54,-35,-1,-1,1.39,-0.2,0.97,-0.62,8,10,3.86,-5,23,6.25,-3,3,3.3,3.2,55,3,-277,0.004,4,18.31018519,4.032407407,6.231481481,113.162037,60.17592593,4.803240741,1.360185185,75.1712963,32.11111111,4.364814815,1.088888889,2.376388889,0.852314815,3.244907407,7.401851852,-7.401851852,4.685185185,4.074074074,4.223148148,28.75925926,-4.485953177,75.76175549,3.165099269,4.07523511,2.42215256,4.217345873,6.639498433,11.65726228,7.827586207,1.219749216,2.103448276,0.401253918,-0.082549634,0.804597701,3.350052247,0.94984326,-0.082549634,8.580982236,0.5125,66.69592476,4.157784744,14.3876698,7.293625914,8.260188088,-1.923391813
7,44210,Carolina Hurricanes,Detroit Red Wings,,3,-24,-2.2,0,17,-15,-2,32,0.285,50,-34,2,-1,1.36,-0.2,0.9,-0.61,25,15,14.2,-7,21,6.52,7,2,0.1,-0.2,266,1.6,-205,0.009,4,88.09294872,-1.208333333,4.448717949,172.599359,32.82692308,6.499038462,-1.017628205,124.1153846,25.81410256,5.421474359,-1.883012821,-0.955769231,0.884294872,-0.050961538,2.797435897,-2.797435897,5.458333333,7.701923077,4.677884615,44.33653846,-2.644551282,35.80990783,-1.071428571,3.448156682,2.217741935,4.22235023,6.440092166,8.078341014,1.640552995,1.191359447,1.016129032,0.951612903,0.25,0.594470046,2.10483871,1.867511521,0.25,14.78110599,0.967281106,57.05760369,0.274193548,14.77304147,16.76382488,7.460829493,-7.880701754
8,44210,Vancouver Canucks,Edmonton Oilers,,7,13,-1,0,-12,10,2,-22,-0.197,-35,33,3,1,-1,0.18,-0.63,0.59,-21,-19,-10.17,10,29,-2.69,4,0,2,-0.1,-45,-1.8,153,-0.01,-2,-14.34814815,-0.692592593,-7.396296296,-90.75185185,-57.38518519,-4.11037037,-1.186296296,-67.3962963,-40.45925926,-4.115185185,-1.35,-0.859514687,-2.338888889,-2.438314176,-3.021111111,3.021111111,-1.818518519,-6.344444444,-3.394074074,-20.8,2.491798942,-33.5,-0.657142857,-7.2,-2.307142857,-4.592857143,-6.9,-5.885714286,0.314285714,-1.082142857,-1.464285714,-0.942857143,0.1,-0.678571429,-3.035714286,-1.692857143,0.135714286,-13.20714286,-0.449025974,-117.7071429,-5.607142857,-20.34285714,-6.321428571,-9.657142857,4.252631579
9,44210,Minnesota Wild,Los Angeles Kings,,7,-16,1.8,0,14,-12,-2,26,0.232,38,-10,0,0,0.75,-0.11,0.67,-0.18,-3,-4,-1.35,5,2,-2.9,-1,0,1.8,0.9,-2,2.5,-41,0.004,2,14.21296296,3.493386243,2.189153439,10.09391534,33.52380952,-0.395899471,-0.76547619,10.17328042,15.73148148,1.322222222,0.143518519,1.592460317,0.442724868,2.046031746,-5.740873016,5.740873016,5.493386243,0.325396825,4.08452381,8.353174603,5.825925926,17.50107759,3.3125,3.25862069,1.769396552,2.693965517,4.463362069,9.011853448,5.046336207,0.750431034,1.794181034,0,-0.024784483,0.547413793,2.800646552,-0.016163793,-0.090517241,5.061422414,-2.169195402,54.20258621,5.135775862,0.132543103,5.154094828,14.13793103,-6.725555556
